sku,categoria_str,categoria_id,img_caratula,precio_intercambio,titulo,precio_compra,precio_venta
5021290074811,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,35.00,Rise of the Tomb Raider,26.00,55.00
5030932116925,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,26.00,Titanfall 2,19.00,40.00
3391891980685,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,22.00,Dragon Ball: Xenoverse,16.00,35.00
3307215889121,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,24.00,Rainbow Six: Siege,18.00,38.00
5051890302113,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5051890302113_s.jpg,26.00,Dying Light The Following: Enhanced Edition,19.00,40.00
5026555422079,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,35.00,NBA 2K17,29.00,52.00
5055856410706,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,27.00,Dishonored 2 (Sin DLC),22.00,40.00
5030917188893,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,37.00,Overwatch,30.00,55.00
5035223113737,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,26.00,Need For Speed (2015),19.00,40.00
711719439912,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,24.00,Minecraft,18.00,38.00
0711719800415,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,19.00,Bloodborne,14.00,30.00
711719848233,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,26.00,Ratchet & Clank (2016),19.00,40.00
0711719278870,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,18.00,InFamous Second Son,13.00,28.00
711719843337,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,18.00,God of War 3 - Remasterizado,13.00,28.00
5021290069459,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,22.00,Just Cause 3,16.00,35.00
711719844341,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719844341_s.jpg,24.00,Bloodborne - Game Of The Year Edition,18.00,38.00
0711719284697,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,13.00,"Order 1886, The",9.00,20.00
5026555421256,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,7.00,NBA 2K16,4.00,20.00
