categoria_id,categoria_str,precio_venta,sku,precio_compra,img_caratula,precio_intercambio,titulo
827,Xbox 360,3.00,882224482479,0.70,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,1.10,Halo 3
827,Xbox 360,4.00,885370164169,1.80,/product_images/Juegos/Xbox 360 Juegos/885370164169_s.jpg,2.00,Halo: Reach
827,Xbox 360,5.00,5030917071065,2.00,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,3.00,Call of Duty: Modern Warfare 2
1002,Xbox One,35.00,0889842121575,15.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,22.00,Gears of War 4
1002,Xbox One,20.00,885370662221,9.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,12.00,Ryse: Son Of Rome
1002,Xbox One,55.00,5055060965924,30.00,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,37.00,Resident Evil 7: Biohazard
1002,Xbox One,30.00,5030917181863,13.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,18.00,Call Of Duty: Black Ops III
1002,Xbox One,65.00,3307215915127,45.00,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,50.00,For Honor
1002,Xbox One,10.00,3307215733134,4.00,/product_images/Juegos/Xbox One Juegos/3307215733134_s.jpg,6.00,Watch Dogs
1002,Xbox One,18.00,85370663983,8.00,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,11.00,Dead Rising 3
1002,Xbox One,42.00,5030937116425,23.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,28.00,FIFA 17
1002,Xbox One,32.00,5026555297356,14.00,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,20.00,Mafia III
1002,Xbox One,20.00,885370929669,9.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,12.00,Halo 5: Guardians
1002,Xbox One,15.00,5030917147791,3.00,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,5.00,Call Of Duty: Advanced Warfare
1002,Xbox One,18.00,5030947121631,8.00,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,11.00,Star Wars: Battlefront
1002,Xbox One,10.00,5030917124358,2.00,/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,3.00,Destiny
1002,Xbox One,45.00,5035228113763,20.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,28.00,Battlefield 1
1002,Xbox One,2.50,5030939112395,0.30,/product_images/Juegos/Xbox One Juegos/5030939112395_s.jpg,0.70,FIFA 15
1001,PlayStation 4,42.00,5021290072985,18.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,26.00,Final Fantasy XV
1001,PlayStation 4,15.00,3307215732939,6.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,9.00,Watch Dogs
1001,PlayStation 4,35.00,711719407515,15.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,22.00,"Last of Us, The - Remastered"
1001,PlayStation 4,32.00,3307215938782,14.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,20.00,Far Cry Primal
1001,PlayStation 4,18.00,3307215793633,8.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,11.00,Far Cry 4
1001,PlayStation 4,25.00,3307215803530,11.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,15.00,Assassin's Creed: Unity
1001,PlayStation 4,25.00,5051893179637,11.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,15.00,Batman: Arkham Knight
1001,PlayStation 4,20.00,4012927100417,9.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,12.00,Metal Gear Solid V: The Phantom Pain
1001,PlayStation 4,35.00,711719838951,15.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,22.00,"Last Guardian, The"
1001,PlayStation 4,35.00,711719866534,15.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,22.00,Uncharted: The Nathan Drake Collection
1001,PlayStation 4,32.00,3391891979016,14.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,20.00,Witcher 3: Wild Hunt
1001,PlayStation 4,12.00,5030917124549,2.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,4.00,Destiny
1001,PlayStation 4,32.00,5055856406242,14.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,20.00,Fallout 4
1001,PlayStation 4,22.00,5055856403418,9.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,13.00,Doom (2016)
1001,PlayStation 4,25.00,5030917148019,6.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,9.00,Call Of Duty: Advanced Warfare
1001,PlayStation 4,22.00,0711719278870,9.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,13.00,InFamous Second Son
1001,PlayStation 4,6.00,5030947112387,0.90,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,1.80,FIFA 15
1001,PlayStation 4,38.00,711719439912,17.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,24.00,Minecraft
1001,PlayStation 4,42.00,3307215889121,18.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,26.00,Rainbow Six: Siege
1001,PlayStation 4,25.00,711719446019,11.00,/product_images/Juegos/PS4 Juegos/711719446019_s.jpg,15.00,Little Big Planet 3
1001,PlayStation 4,25.00,5051893165128,11.00,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,15.00,"Tierra-Media, La: Sombras De Mordor"
1001,PlayStation 4,32.00,711719848233,14.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,20.00,Ratchet & Clank (2016)
1001,PlayStation 4,22.00,5030936111346,9.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,13.00,Battlefield 4
1001,PlayStation 4,42.00,4012927102336,18.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,26.00,Pro Evolution Soccer 2017
1001,PlayStation 4,18.00,0711719849834,8.00,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,11.00,No Man's Sky
1001,PlayStation 4,15.00,4020628868550,6.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,9.00,Homefront: The Revolution
1001,PlayStation 4,12.00,711719275473,5.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,7.00,Killzone: Shadow Fall
1001,PlayStation 4,35.00,5035223113737,15.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,22.00,Need For Speed (2015)
1001,PlayStation 4,20.00,3307215715239,9.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,12.00,Assassin's Creed 4: Black Flag
1001,PlayStation 4,30.00,3391891980685,13.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,18.00,Dragon Ball: Xenoverse
1001,PlayStation 4,50.00,5026555422079,22.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,31.00,NBA 2K17
1001,PlayStation 4,20.00,0711719284697,9.00,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,12.00,"Order 1886, The"
1001,PlayStation 4,55.00,5030917188893,24.00,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,34.00,Overwatch
1001,PlayStation 4,35.00,5021290069459,15.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,22.00,Just Cause 3
1001,PlayStation 4,32.00,5030932116925,14.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,20.00,Titanfall 2
1001,PlayStation 4,35.00,5055856410706,15.00,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,22.00,Dishonored 2 (Sin DLC)
1001,PlayStation 4,22.00,711719277071,9.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,13.00,DriveClub
1001,PlayStation 4,18.00,5026555421256,4.00,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,6.00,NBA 2K16
