precio_venta,categoria_id,img_caratula,precio_intercambio,precio_compra,categoria_str,sku,titulo
22.00,831,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,13.00,9.00,Wii,045496400736,Legend of Zelda: Skyward Sword
6.00,831,/product_images/Juegos/Wii Juegos/045496363383_s.jpg,3.00,2.00,Wii,045496363383,Big Brain Academy
28.00,996,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,17.00,12.00,Wii U,045496333288,Mario Kart 8
28.00,996,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,17.00,12.00,Wii U,045496334475,Splatoon
28.00,996,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,17.00,12.00,Wii U,045496332785,Super Mario 3D World
12.00,996,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,7.00,5.00,Wii U,045496331085,Nintendo Land
32.00,996,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,20.00,14.00,Wii U,045496333621,Super Smash Bros
30.00,996,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,18.00,13.00,Wii U,045496334987,Super Mario Maker
15.00,996,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,9.00,6.00,Wii U,045496331207,New Super Mario Bros. U
20.00,996,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,12.00,9.00,Wii U,0045496332716,Donkey Kong Country: Tropical Freeze
8.00,996,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,5.00,3.00,Wii U,3307215654293,ZombiU
28.00,996,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,17.00,12.00,Wii U,045496334697,Yoshi's Woolly World
25.00,996,/product_images/Juegos/Wii U Juegos/045496333782_s.jpg,15.00,11.00,Wii U,045496333782,Captain Toad: Treasure Tracker
20.00,996,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,12.00,9.00,Wii U,045496332839,Wii Party U (Solo Juego)
20.00,996,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,12.00,9.00,Wii U,0045496332303,Legend Of Zelda: Wind Waker HD
22.00,996,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,13.00,9.00,Wii U,045496333713,Bayonetta 2
18.00,996,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,11.00,8.00,Wii U,045496332198,New Super Mario Bros. U & Super Luigi U
20.00,827,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,12.00,9.00,Xbox 360,5026555258098,Grand Theft Auto V (5) 2 Disco
8.00,827,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,5.00,3.00,Xbox 360,5026555245968,Grand Theft Auto IV
15.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,9.00,6.00,Xbox 360,5030917111679,Call Of Duty: Black Ops II
5.00,827,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,3.00,2.00,Xbox 360,5030949111104,FIFA 14
6.00,827,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,3.00,2.00,Xbox 360,0885370309607,Gears of War 3
8.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,5.00,3.00,Xbox 360,5030917096891,Call Of Duty: Modern Warfare 3
4.00,827,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,2.00,1.80,Xbox 360,882224721141,Gears of War 2
3.00,827,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,1.10,0.70,Xbox 360,882224482479,Halo 3
5.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,3.00,2.00,Xbox 360,5030917071065,Call of Duty: Modern Warfare 2
10.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,6.00,4.00,Xbox 360,5030917125911,Call Of Duty: Ghosts *2 Disc*
8.00,827,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,5.00,3.00,Xbox 360,5055060963852,Resident Evil 6 *2 Disc*
8.00,827,/product_images/Juegos/Xbox 360 Juegos/3307217927234_s.jpg,5.00,3.00,Xbox 360,3307217927234,Assassins Creed: Hermandad
6.00,827,/product_images/Juegos/Xbox 360 Juegos/885370439939_s.jpg,3.00,2.00,Xbox 360,885370439939,Halo 4 *2 Disc*
10.00,827,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,6.00,4.00,Xbox 360,3307215633342,Far Cry 3
40.00,1002,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,25.00,18.00,Xbox One,5026555284127,Grand Theft Auto V (5)
42.00,1002,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,28.00,23.00,Xbox One,5030937116425,FIFA 17
60.00,1002,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,46.00,42.00,Xbox One,5055060965924,Resident Evil 7: Biohazard
38.00,1002,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,24.00,17.00,Xbox One,889842148671,Dead Rising 4
15.00,1002,/product_images/Juegos/Xbox One Juegos/5055856403524_s.jpg,9.00,6.00,Xbox One,5055856403524,Doom (2016)
42.00,1002,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,26.00,18.00,Xbox One,5035228113763,Battlefield 1
18.00,1002,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,11.00,8.00,Xbox One,85370663983,Dead Rising 3
38.00,1002,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,24.00,17.00,Xbox One,0889842121575,Gears of War 4
18.00,1002,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,11.00,8.00,Xbox One,885370929669,Halo 5: Guardians
28.00,1002,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,17.00,12.00,Xbox One,5055856406396,Fallout 4
10.00,1002,/product_images/Juegos/Xbox One Juegos/4020628868543_s.jpg,6.00,4.00,Xbox One,4020628868543,Homefront: The Revolution
20.00,1002,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,12.00,9.00,Xbox One,885370662221,Ryse: Son Of Rome
12.00,1002,/product_images/Juegos/Xbox One Juegos/3307215794722_s.jpg,7.00,5.00,Xbox One,3307215794722,Far Cry 4
45.00,1002,/product_images/Juegos/Xbox One Juegos/889842150070_s.jpg,28.00,20.00,Xbox One,889842150070,Forza Horizon 3
15.00,1002,/product_images/Juegos/Xbox One Juegos/3307215733134_s.jpg,9.00,6.00,Xbox One,3307215733134,Watch Dogs
20.00,1001,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,12.00,9.00,PlayStation 4,3307215732939,Watch Dogs
35.00,1001,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,22.00,15.00,PlayStation 4,3307215938782,Far Cry Primal
32.00,1001,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,20.00,14.00,PlayStation 4,5030934121637,Star Wars: Battlefront
22.00,1001,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,13.00,9.00,PlayStation 4,3307215793633,Far Cry 4
22.00,1001,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,13.00,9.00,PlayStation 4,4012927100417,Metal Gear Solid V: The Phantom Pain
32.00,1001,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,20.00,14.00,PlayStation 4,5055856406242,Fallout 4
30.00,1001,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,18.00,13.00,PlayStation 4,5051893179637,Batman: Arkham Knight
28.00,1001,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,10.00,6.00,PlayStation 4,5030917148019,Call Of Duty: Advanced Warfare
28.00,1001,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,17.00,12.00,PlayStation 4,5055856403418,Doom (2016)
42.00,1001,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,26.00,18.00,PlayStation 4,711719407515,"Last of Us, The - Remastered"
12.00,1001,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,7.00,5.00,PlayStation 4,711719275473,Killzone: Shadow Fall
40.00,1001,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,25.00,18.00,PlayStation 4,711719838951,"Last Guardian, The"
58.00,1001,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,39.00,32.00,PlayStation 4,5030917188893,Overwatch
40.00,1001,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,25.00,18.00,PlayStation 4,711719866534,Uncharted: The Nathan Drake Collection
8.00,1001,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,2.00,1.20,PlayStation 4,5030947112387,FIFA 15
42.00,1001,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,26.00,18.00,PlayStation 4,4012927102336,Pro Evolution Soccer 2017
30.00,1001,/product_images/Juegos/PS4 Juegos/711719446019_s.jpg,18.00,13.00,PlayStation 4,711719446019,Little Big Planet 3
