categoria_str,sku,precio_intercambio,precio_venta,categoria_id,titulo,img_caratula,precio_compra
PlayStation Vita,711719236467,14.00,22.00,990,Jak And Daxter Trilogy,/product_images/Juegos/PS Vita Juegos/711719236467_s.jpg,10.00
PlayStation Vita,5055377602352,3.00,6.00,990,Space Hulk,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,2.00
PlayStation Vita,5051893218442,7.00,12.00,990,LEGO Marvel Vengadores,/product_images/Juegos/PS Vita Juegos/5051893218442_s.jpg,5.00
PSP,5026555280785,1.40,4.00,862,Grand Theft Auto Vice City Stories,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,0.80
PSP,5026555280143,1.40,4.00,862,Grand Theft Auto: Liberty City Stories,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,0.80
PSP,3307211667679,1.40,4.00,862,Assassin's Creed: Bloodlines,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,0.80
PSP,711719908128,0.90,3.00,862,God of War: Chains of Olympus,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.40
PSP,711719151159,0.90,3.00,862,Gran Turismo,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.40
PSP,711719646266,0.90,3.00,862,Daxter,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,0.40
PSP,711719169772,0.10,0.50,862,Invizimals La Otra Dimension (Solo Juego,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.01
PSP,711719142058,0.10,0.50,862,Invizimals (Solo Juego),/product_images/Juegos/PSP Juegos/711719142058_s.jpg,0.01
PSP,711719660071,0.90,3.00,862,Tekken Dark Resurrection,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,0.40
PSP,711719605485,0.30,1.00,862,Killzone Liberation,/product_images/Juegos/PSP Juegos/711719605485_s.jpg,0.10
PSP,711719168171,1.60,4.50,862,God of War: Ghost of Sparta,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,0.90
PSP,8414646244995,0.10,0.50,862,Invizimals: Las tribus perdidas,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,0.01
PSP,5030934059435,1.60,4.50,862,Los Simpson - El Videojuego,/product_images/Juegos/PSP Juegos/5030934059435_s.jpg,0.90
PSP,4012927063354,0.10,0.50,862,Pro Evolution Soccer 2009,/product_images/Juegos/PSP Juegos/4012927063354_s.jpg,0.01
PSP,711719678250,1.40,4.00,862,Medievil: Resurreccion,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,0.80
Wii,045496365202,11.00,18.00,831,Mario Kart Wii (Solo Juego),/product_images/Juegos/Wii Juegos/045496365202_s.jpg,8.00
Wii,045496368098,11.00,18.00,831,New Super Mario Bros. Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,8.00
Wii,045496363932,9.00,15.00,831,Super Mario Galaxy,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,6.00
Wii,045496362201,2.00,4.00,831,Wii Play (solo juego),/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,1.80
Wii,045496367473,6.00,10.00,831,Wii Sports Resort (Solo Juego),/product_images/Juegos/Wii Juegos/045496367473_s.jpg,4.00
Wii,045496365899,9.00,15.00,831,Super Smash Bros. Brawl,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,6.00
Wii,045496368869,12.00,20.00,831,Super Mario Galaxy 2,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,9.00
Wii,045496362393,9.00,15.00,831,Legend of Zelda: Twilight Princess,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,6.00
Wii,045496367916,2.00,4.00,831,Wii Fit Plus (Solo Juego),/product_images/Juegos/Wii Juegos/045496367916_s.jpg,1.80
Wii,045496366575,5.00,8.00,831,Animal Crossing Lets Go To The City (Solo Juego),/product_images/Juegos/Wii Juegos/045496366575_s.jpg,3.00
Wii,045496400736,13.00,22.00,831,Legend of Zelda: Skyward Sword,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,9.00
Wii,045496362867,9.00,15.00,831,Mario Party 8,/product_images/Juegos/Wii Juegos/045496362867_s.jpg,6.00
Wii,045496362102,3.00,5.00,831,Wii Sports (Solo Juego),/product_images/Juegos/Wii Juegos/045496362102_s.jpg,2.00
Wii U,045496333288,15.00,25.00,996,Mario Kart 8,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,11.00
Wii U,045496331085,6.00,10.00,996,Nintendo Land,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,4.00
Wii U,045496332785,13.00,22.00,996,Super Mario 3D World,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,9.00
Wii U,045496333621,18.00,30.00,996,Super Smash Bros,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,13.00
Wii U,045496334475,15.00,25.00,996,Splatoon,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,11.00
