img_caratula,sku,categoria_id,precio_intercambio,precio_compra,precio_venta,categoria_str,titulo
/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,045496334161,996,9.00,6.00,15.00,Wii U,Mario Party 10
/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,045496333713,996,12.00,9.00,20.00,Wii U,Bayonetta 2
/product_images/Juegos/Wii U Juegos/0045496335618_s.jpg,0045496335618,996,17.00,12.00,28.00,Wii U,Pokken Tournament (No Mewtwo Card)
/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,5030917114014,996,2.00,2.00,4.50,Wii U,Call Of Duty: Black Ops II
/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,5026555258098,827,12.00,9.00,20.00,Xbox 360,Grand Theft Auto V (5) 2 Disco
/product_images/Juegos/Xbox 360 Juegos/3307215705728_s.jpg,3307215705728,827,9.00,6.00,15.00,Xbox 360,Assassin's Creed 4: Black Flag (2 Disc)
/product_images/Juegos/Xbox 360 Juegos/5030917147685_s.jpg,5030917147685,827,9.00,6.00,15.00,Xbox 360,Call Of Duty: Advanced Warfare (2 Disc)
/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,5030949111104,827,3.00,2.00,6.00,Xbox 360,FIFA 14
/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,5035228112377,827,7.00,5.00,12.00,Xbox 360,FIFA 15
/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,5030917111679,827,9.00,6.00,15.00,Xbox 360,Call Of Duty: Black Ops II
/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,0885370606515,827,7.00,5.00,12.00,Xbox 360,Minecraft
/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,5030917096891,827,3.00,2.00,6.00,Xbox 360,Call Of Duty: Modern Warfare 3
/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,5055060963852,827,5.00,3.00,8.00,Xbox 360,Resident Evil 6 *2 Disc*
/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,5026555245968,827,5.00,3.00,8.00,Xbox 360,Grand Theft Auto IV
/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,882224721141,827,1.50,0.90,4.00,Xbox 360,Gears of War 2
/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,0885370309607,827,3.00,2.00,6.00,Xbox 360,Gears of War 3
/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,882224260145,827,1.30,0.80,3.50,Xbox 360,Gears of War
/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,3307215633342,827,5.00,3.00,8.00,Xbox 360,Far Cry 3
/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,885370662221,1002,11.00,8.00,18.00,Xbox One,Ryse: Son Of Rome
/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,5026555284127,1002,24.00,17.00,38.00,Xbox One,Grand Theft Auto V (5)
/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,3307215915127,1002,39.00,32.00,58.00,Xbox One,For Honor
/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,5055856406396,1002,15.00,11.00,25.00,Xbox One,Fallout 4
/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,5030917147791,1002,7.00,5.00,12.00,Xbox One,Call Of Duty: Advanced Warfare
/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,5035228113763,1002,24.00,17.00,38.00,Xbox One,Battlefield 1
/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,0889842121575,1002,18.00,13.00,30.00,Xbox One,Gears of War 4
/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,5030937116425,1002,26.00,18.00,42.00,Xbox One,FIFA 17
/product_images/Juegos/Xbox One Juegos/4012927110355_s.jpg,4012927110355,1002,7.00,5.00,12.00,Xbox One,Metal Gear Solid V: The Phantom Pain
/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,5030917181863,1002,18.00,13.00,30.00,Xbox One,Call Of Duty: Black Ops III
/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,885370984750,1002,15.00,11.00,25.00,Xbox One,Rise Of The Tomb Raider
/product_images/Juegos/Xbox One Juegos/5030941116398_s.jpg,5030941116398,1002,50.00,45.00,65.00,Xbox One,Mass Effect: Andrómeda (Sin DLC)
/product_images/Juegos/Xbox One Juegos/3307215913161_s.jpg,3307215913161,1002,44.00,36.00,65.00,Xbox One,Ghost Recon: Wildlands (Sin DLC)
/product_images/Juegos/Xbox One Juegos/0885370863956_s.jpg,0885370863956,1002,9.00,6.00,15.00,Xbox One,Halo: The Master Chief Collection
/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,885370929669,1002,12.00,9.00,20.00,Xbox One,Halo 5: Guardians
/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,5030934121637,1001,11.00,8.00,18.00,PlayStation 4,Star Wars: Battlefront
/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,3307215803530,1001,9.00,6.00,15.00,PlayStation 4,Assassin's Creed: Unity
