precio_venta,categoria_id,img_caratula,titulo,precio_compra,categoria_str,sku,precio_intercambio
6.00,827,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,FIFA 14,2.00,Xbox 360,5030949111104,3.00
6.00,827,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,Gears of War 3,2.00,Xbox 360,0885370309607,3.00
3.00,827,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,Halo 3,0.70,Xbox 360,882224482479,1.10
8.00,827,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,Far Cry 3,3.00,Xbox 360,3307215633342,5.00
70.00,1002,/product_images/Juegos/Xbox One Juegos/3307215913161_s.jpg,Ghost Recon: Wildlands (Sin DLC),49.00,Xbox One,3307215913161,54.00
32.00,1002,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,Gears of War 4,14.00,Xbox One,0889842121575,20.00
35.00,1002,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,Dead Rising 4,15.00,Xbox One,889842148671,22.00
38.00,1002,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,Grand Theft Auto V (5),17.00,Xbox One,5026555284127,24.00
18.00,1002,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,Ryse: Son Of Rome,8.00,Xbox One,885370662221,11.00
25.00,1002,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,Rise Of The Tomb Raider,11.00,Xbox One,885370984750,15.00
32.00,1002,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,Call Of Duty: Black Ops III,14.00,Xbox One,5030917181863,20.00
62.00,1002,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,For Honor,34.00,Xbox One,3307215915127,42.00
20.00,1002,/product_images/Juegos/Xbox One Juegos/3307215938508_s.jpg,Far Cry Primal,9.00,Xbox One,3307215938508,12.00
18.00,1002,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,Halo 5: Guardians,8.00,Xbox One,885370929669,11.00
20.00,1002,/product_images/Juegos/Xbox One Juegos/889842056655_s.jpg,Quantum Break,9.00,Xbox One,889842056655,12.00
15.00,1002,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,Call Of Duty: Advanced Warfare,3.00,Xbox One,5030917147791,5.00
40.00,1002,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,FIFA 17,18.00,Xbox One,5030937116425,25.00
15.00,1002,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,Star Wars: Battlefront,6.00,Xbox One,5030947121631,9.00
22.00,1002,/product_images/Juegos/Xbox One Juegos/3307215893951_s.jpg,Assassin's Creed: Syndicate,9.00,Xbox One,3307215893951,13.00
38.00,1001,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,Final Fantasy XV,17.00,PlayStation 4,5021290072985,24.00
28.00,1001,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,Far Cry Primal,12.00,PlayStation 4,3307215938782,17.00
20.00,1001,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,Star Wars: Battlefront,9.00,PlayStation 4,5030934121637,12.00
18.00,1001,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,Far Cry 4,8.00,PlayStation 4,3307215793633,11.00
20.00,1001,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,Assassin's Creed: Unity,9.00,PlayStation 4,3307215803530,12.00
18.00,1001,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,Metal Gear Solid V: The Phantom Pain,8.00,PlayStation 4,4012927100417,11.00
22.00,1001,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,Batman: Arkham Knight,9.00,PlayStation 4,5051893179637,13.00
12.00,1001,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,Watch Dogs,5.00,PlayStation 4,3307215732939,7.00
10.00,1001,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,Destiny,2.00,PlayStation 4,5030917124549,3.00
35.00,1001,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,"Last of Us, The - Remastered",15.00,PlayStation 4,711719407515,22.00
20.00,1001,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,God of War 3 - Remasterizado,9.00,PlayStation 4,711719843337,12.00
28.00,1001,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,Fallout 4,12.00,PlayStation 4,5055856406242,17.00
5.00,1001,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,FIFA 15,0.70,PlayStation 4,5030947112387,1.50
30.00,1001,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,Witcher 3: Wild Hunt,13.00,PlayStation 4,3391891979016,18.00
28.00,1001,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,Bloodborne,12.00,PlayStation 4,0711719800415,17.00
32.00,1001,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,"Last Guardian, The",14.00,PlayStation 4,711719838951,20.00
35.00,1001,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,Uncharted: The Nathan Drake Collection,15.00,PlayStation 4,711719866534,22.00
20.00,1001,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,Doom (2016),9.00,PlayStation 4,5055856403418,12.00
22.00,1001,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,Call Of Duty: Advanced Warfare,5.00,PlayStation 4,5030917148019,8.00
52.00,1001,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,Overwatch,23.00,PlayStation 4,5030917188893,32.00
