categoria_id,precio_compra,img_caratula,sku,precio_venta,titulo,categoria_str,precio_intercambio
827,2.00,/product_images/Juegos/Xbox 360 Juegos/885370439939_s.jpg,885370439939,6.00,Halo 4 *2 Disc*,Xbox 360,3.00
827,3.00,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,5030934102421,8.00,Battlefield 3 *2 Discos*,Xbox 360,5.00
827,0.70,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,882224482479,3.00,Halo 3,Xbox 360,1.10
1002,15.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,0889842121575,35.00,Gears of War 4,Xbox One,22.00
1002,45.00,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,3307215915127,65.00,For Honor,Xbox One,50.00
1002,9.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,885370662221,20.00,Ryse: Son Of Rome,Xbox One,12.00
1002,13.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,5030917181863,30.00,Call Of Duty: Black Ops III,Xbox One,18.00
1002,23.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,5030937116425,42.00,FIFA 17,Xbox One,28.00
1002,8.00,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,85370663983,18.00,Dead Rising 3,Xbox One,11.00
1002,9.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,885370929669,20.00,Halo 5: Guardians,Xbox One,12.00
1002,30.00,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,5055060965924,55.00,Resident Evil 7: Biohazard,Xbox One,37.00
1002,18.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,5026555284127,42.00,Grand Theft Auto V (5),Xbox One,26.00
1002,4.00,/product_images/Juegos/Xbox One Juegos/3307215733134_s.jpg,3307215733134,10.00,Watch Dogs,Xbox One,6.00
1002,0.30,/product_images/Juegos/Xbox One Juegos/5030939112395_s.jpg,5030939112395,2.50,FIFA 15,Xbox One,0.70
1002,8.00,/product_images/Juegos/Xbox One Juegos/0885370863956_s.jpg,0885370863956,18.00,Halo: The Master Chief Collection,Xbox One,11.00
1002,2.00,/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,5030917124358,10.00,Destiny,Xbox One,3.00
1002,6.00,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,885370951844,15.00,Gears Of War: Ultimate Edition,Xbox One,9.00
1002,20.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,5035228113763,45.00,Battlefield 1,Xbox One,28.00
1001,15.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,711719407515,35.00,"Last of Us, The - Remastered",PlayStation 4,22.00
1001,6.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,3307215732939,15.00,Watch Dogs,PlayStation 4,9.00
1001,14.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,3307215938782,32.00,Far Cry Primal,PlayStation 4,20.00
1001,18.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,5021290072985,42.00,Final Fantasy XV,PlayStation 4,26.00
1001,8.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,3307215793633,18.00,Far Cry 4,PlayStation 4,11.00
1001,11.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,3307215803530,25.00,Assassin's Creed: Unity,PlayStation 4,15.00
1001,11.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,5051893179637,25.00,Batman: Arkham Knight,PlayStation 4,15.00
1001,9.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,4012927100417,20.00,Metal Gear Solid V: The Phantom Pain,PlayStation 4,12.00
1001,15.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,711719838951,35.00,"Last Guardian, The",PlayStation 4,22.00
1001,15.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,711719866534,35.00,Uncharted: The Nathan Drake Collection,PlayStation 4,22.00
1001,14.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,3391891979016,32.00,Witcher 3: Wild Hunt,PlayStation 4,20.00
1001,2.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,5030917124549,12.00,Destiny,PlayStation 4,4.00
