img_caratula,titulo,categoria_str,precio_intercambio,precio_compra,categoria_id,sku,precio_venta
/product_images/Juegos/Xbox 360 Juegos/5060138433052_s.jpg,La Brujula Dorada,Xbox 360,0.70,0.40,827,5060138433052,2.00
/product_images/Juegos/Xbox 360 Juegos/5026555245043_s.jpg,Top Spin 2,Xbox 360,0.70,0.40,827,5026555245043,2.00
/product_images/Juegos/Xbox 360 Juegos/5030934090117_s.jpg,EA Sports MMA,Xbox 360,5.00,3.00,827,5030934090117,8.00
/product_images/Juegos/Xbox 360 Juegos/5030917075827_s.jpg,Bakugan Battle Brawlers,Xbox 360,1.10,0.70,827,5030917075827,3.00
/product_images/Juegos/Xbox 360 Juegos/4510772106061_s.jpg,Arcana Heart 3,Xbox 360,5.00,3.00,827,4510772106061,8.00
/product_images/Juegos/Xbox 360 Juegos/4020628502102_s.jpg,Sacred 2,Xbox 360,6.00,4.00,827,4020628502102,10.00
/product_images/Juegos/Xbox 360 Juegos/3307210220387_s.jpg,Far Cry Instincts Predator,Xbox 360,3.00,2.00,827,3307210220387,6.00
/product_images/Juegos/Xbox 360 Juegos/5060121824041_s.jpg,"Last Remnant, The (2 Disc)",Xbox 360,3.00,2.00,827,5060121824041,6.00
/product_images/Juegos/Xbox 360 Juegos/5021290055551_s.jpg,Hitman Trilogy,Xbox 360,7.00,5.00,827,5021290055551,12.00
/product_images/Juegos/Xbox 360 Juegos/5030934091800B_s.jpg,EA Sports Active 2 (Solo Juego),Xbox 360,0.10,0.01,827,5030934091800,0.50
/product_images/Juegos/Xbox 360 Juegos/5030940113176_s.jpg,Battlefield Hardline (2 Disc),Xbox 360,7.00,5.00,827,5030940113176,12.00
/product_images/Juegos/Xbox 360 Juegos/047875821316_s.jpg,Marvel Ultimate Alliance (Gold Edition),Xbox 360,7.00,5.00,827,047875821316,12.00
/product_images/Juegos/Xbox 360 Juegos/008888523468_s.jpg,CSI: Hard Evidence,Xbox 360,1.70,1.00,827,008888523468,4.50
/product_images/Juegos/Xbox 360 Juegos/008888523499_s.jpg,Blazing Angels 2 Secret Missions,Xbox 360,3.00,2.00,827,008888523499,6.00
/product_images/Juegos/Xbox 360 Juegos/010086680348_s.jpg,Sonic Ultimate Genesis Collection,Xbox 360,12.00,9.00,827,010086680348,20.00
/product_images/Juegos/Xbox 360 Juegos/014633195378_s.jpg,NCAA Football 12,Xbox 360,3.00,2.00,827,014633195378,6.00
/product_images/Juegos/Xbox 360 Juegos/014633732931_s.jpg,NHL 15,Xbox 360,6.00,4.00,827,014633732931,10.00
/product_images/Juegos/Xbox 360 Juegos/023272002695_s.jpg,Lego Star Wars II La Trilogia Original,Xbox 360,9.00,6.00,827,023272002695,15.00
/product_images/Juegos/Xbox 360 Juegos/023272010485_s.jpg,Star Wars El Poder De La Fuerza 2 (Ed Co,Xbox 360,7.00,5.00,827,023272010485,12.00
/product_images/Juegos/Xbox 360 Juegos/023272339760_s.jpg,Lego Indiana Jones 2,Xbox 360,9.00,6.00,827,023272339760,15.00
/product_images/Juegos/Xbox 360 Juegos/047875754515_s.jpg,World Series of Poker 2008,Xbox 360,3.00,2.00,827,047875754515,6.00
/product_images/Juegos/Xbox 360 Juegos/047875765016_s.jpg,Monster Jam: Path Of Destruction,Xbox 360,7.00,5.00,827,047875765016,12.00
/product_images/Juegos/Xbox 360 Juegos/047875840096_s.jpg,Call Of Duty War Collection,Xbox 360,13.00,9.00,827,047875840096,22.00
/product_images/Juegos/Xbox 360 Juegos/083717301363_s.jpg,Glee Karaoke Revolution Volume 3,Xbox 360,6.00,4.00,827,083717301363,10.00
/product_images/Juegos/Xbox 360 Juegos/093155124219_s.jpg,Fallout 3 (Ed. Coleccionista),Xbox 360,13.00,9.00,827,093155124219,22.00
/product_images/Juegos/Xbox 360 Juegos/093155126350_s.jpg,Fallout 3: Operation Anchorage & The Pit,Xbox 360,3.00,2.00,827,093155126350,6.00
/product_images/Juegos/Xbox 360 Juegos/093155140172_s.jpg,Fallout New Vegas CE,Xbox 360,15.00,11.00,827,093155140172,25.00
/product_images/Juegos/Xbox 360 Juegos/093155143715_s.jpg,Elder Scrolls: Oblivion 5th Aniversary,Xbox 360,7.00,5.00,827,093155143715,12.00
/product_images/Juegos/Xbox 360 Juegos/307211695610_s.jpg,Ruse *USE 3307211695610 *,Xbox 360,-1,-1,827,307211695610,6.00
/product_images/Juegos/Xbox 360 Juegos/3296580804672_s.jpg,Beautiful Katamari Damacy,Xbox 360,7.00,5.00,827,3296580804672,12.00
/product_images/Juegos/Xbox 360 Juegos/3296580810420_s.jpg,Dead To Rights: Retribution,Xbox 360,1.10,0.70,827,3296580810420,3.00
/product_images/Juegos/Xbox 360 Juegos/3296580810833_s.jpg,Tekken 6 (Ed. Lim. + Sudadera),Xbox 360,9.00,6.00,827,3296580810833,15.00
/product_images/Juegos/DS Juegos/5060034555704_s.jpg,Garfield`s Funfest,Nintendo DS,1.30,0.80,834,5060034555704,3.50
