precio_compra,categoria_id,img_caratula,titulo,precio_venta,precio_intercambio,categoria_str,sku
23.00,1002,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,FIFA 17,42.00,28.00,Xbox One,5030937116425
9.00,1002,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,Ryse: Son Of Rome,20.00,12.00,Xbox One,885370662221
8.00,1002,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,Halo 5: Guardians,18.00,11.00,Xbox One,885370929669
18.00,1002,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,Final Fantasy XV,42.00,26.00,Xbox One,5021290073081
20.00,1002,/product_images/Juegos/Xbox One Juegos/889842150070_s.jpg,Forza Horizon 3,45.00,28.00,Xbox One,889842150070
6.00,1002,/product_images/Juegos/Xbox One Juegos/5055856403524_s.jpg,Doom (2016),15.00,9.00,Xbox One,5055856403524
13.00,1002,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,Call Of Duty: Black Ops III,30.00,18.00,Xbox One,5030917181863
12.00,1002,/product_images/Juegos/Xbox One Juegos/5030937116920_s.jpg,Titanfall 2,28.00,17.00,Xbox One,5030937116920
3.00,1002,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,Call Of Duty: Advanced Warfare,15.00,5.00,Xbox One,5030917147791
18.00,1002,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,Battlefield 1,42.00,26.00,Xbox One,5035228113763
6.00,1001,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,Destiny,15.00,9.00,PlayStation 4,5030917124549
14.00,1001,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,Star Wars: Battlefront,32.00,20.00,PlayStation 4,5030934121637
9.00,1001,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,Far Cry 4,22.00,13.00,PlayStation 4,3307215793633
14.00,1001,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,Assassin's Creed: Syndicate,32.00,20.00,PlayStation 4,3307215893227
18.00,1001,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,"Last Guardian, The",40.00,25.00,PlayStation 4,711719838951
13.00,1001,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,Batman: Arkham Knight,30.00,18.00,PlayStation 4,5051893179637
9.00,1001,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,Metal Gear Solid V: The Phantom Pain,22.00,13.00,PlayStation 4,4012927100417
13.00,1001,/product_images/Juegos/PS4 Juegos/711719446019_s.jpg,Little Big Planet 3,30.00,18.00,PlayStation 4,711719446019
14.00,1001,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,Fallout 4,32.00,20.00,PlayStation 4,5055856406242
18.00,1001,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,"Last of Us, The - Remastered",42.00,26.00,PlayStation 4,711719407515
38.00,1001,/product_images/Juegos/PS4 Juegos/5021290072022_s.jpg,Kingdom Hearts HD 2.8 Final Chapter Prologue,55.00,42.00,PlayStation 4,5021290072022
5.00,1001,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,Killzone: Shadow Fall,12.00,7.00,PlayStation 4,711719275473
1.20,1001,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,FIFA 15,8.00,2.00,PlayStation 4,5030947112387
18.00,1001,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,Uncharted: The Nathan Drake Collection,40.00,25.00,PlayStation 4,711719866534
12.00,1001,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,Doom (2016),28.00,17.00,PlayStation 4,5055856403418
6.00,1001,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,Call Of Duty: Advanced Warfare,28.00,10.00,PlayStation 4,5030917148019
15.00,1001,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,Until Dawn,35.00,22.00,PlayStation 4,711719874737
17.00,1001,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,Witcher 3: Wild Hunt,38.00,24.00,PlayStation 4,3391891979016
13.00,1001,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,God of War 3 - Remasterizado,30.00,18.00,PlayStation 4,711719843337
18.00,1001,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,Rainbow Six: Siege,42.00,26.00,PlayStation 4,3307215889121
18.00,1001,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,Minecraft,40.00,25.00,PlayStation 4,711719439912
9.00,1001,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,Assassin's Creed 4: Black Flag,22.00,13.00,PlayStation 4,3307215715239
12.00,1001,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,Battlefield 4,28.00,17.00,PlayStation 4,5030936111346
32.00,1001,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,Overwatch,58.00,39.00,PlayStation 4,5030917188893
18.00,1001,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,Pro Evolution Soccer 2017,42.00,26.00,PlayStation 4,4012927102336
12.00,1001,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,DriveClub,28.00,17.00,PlayStation 4,711719277071
18.00,1001,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,Need For Speed (2015),42.00,26.00,PlayStation 4,5035223113737
12.00,1001,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,Bloodborne,28.00,17.00,PlayStation 4,0711719800415
6.00,1001,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,Battlefield Hardline,15.00,9.00,PlayStation 4,5030946112425
12.00,1001,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,InFamous Second Son,28.00,17.00,PlayStation 4,0711719278870
17.00,1001,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,Dishonored 2 (Sin DLC),38.00,24.00,PlayStation 4,5055856410706
9.00,1001,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,No Man's Sky,22.00,13.00,PlayStation 4,0711719849834
18.00,1001,/product_images/Juegos/PS4 Juegos/5051890302113_s.jpg,Dying Light The Following: Enhanced Edition,42.00,26.00,PlayStation 4,5051890302113
8.00,1001,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,Homefront: The Revolution,18.00,11.00,PlayStation 4,4020628868550
15.00,1001,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,Dragon Ball: Xenoverse,35.00,22.00,PlayStation 4,3391891980685
22.00,1001,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,NBA 2K17,50.00,31.00,PlayStation 4,5026555422079
21.00,1001,/product_images/Juegos/PS4 Juegos/8023171037745_s.jpg,Rocket League,48.00,30.00,PlayStation 4,8023171037745
15.00,1001,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,Just Cause 3,35.00,22.00,PlayStation 4,5021290069459
