sku,categoria_id,precio_venta,precio_intercambio,categoria_str,titulo,img_caratula,precio_compra
3307215652312,990,12.00,7.00,PlayStation Vita,Assassin's Creed III (3): Liberation,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,5.00
711719200628,990,18.00,11.00,PlayStation Vita,Uncharted: Golden Abyss,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,8.00
711719251163,990,18.00,11.00,PlayStation Vita,Killzone Mercenary,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,8.00
3307215916520,990,15.00,9.00,PlayStation Vita,Assassins Creed Chronicles,/product_images/Juegos/PS Vita Juegos/3307215916520_s.jpg,7.00
3391891983907,990,12.00,7.00,PlayStation Vita,J-Stars Victory VS+,/product_images/Juegos/PS Vita Juegos/3391891983907_s.jpg,5.00
5035225113223,990,25.00,16.00,PlayStation Vita,FIFA 15,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,12.00
711719287667,990,5.00,1.90,PlayStation Vita,Invizimals - La Alianza,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,1.20
5055277016259,990,12.00,7.00,PlayStation Vita,Virtua Tennis 4: Edicion World Tour,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,5.00
711719292852,990,10.00,6.00,PlayStation Vita,Soul Sacrifice,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,4.00
711719279488,990,18.00,11.00,PlayStation Vita,God Of War Collection,/product_images/Juegos/PS Vita Juegos/711719279488_s.jpg,8.00
5026555280143,862,4.00,1.40,PSP,Grand Theft Auto: Liberty City Stories,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,0.80
711719908128,862,3.00,0.90,PSP,God of War: Chains of Olympus,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.40
5026555280785,862,4.00,1.40,PSP,Grand Theft Auto Vice City Stories,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,0.80
711719142058,862,0.50,0.10,PSP,Invizimals (Solo Juego),/product_images/Juegos/PSP Juegos/711719142058_s.jpg,0.01
711719646266,862,3.00,0.90,PSP,Daxter,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,0.40
711719168171,862,4.50,1.60,PSP,God of War: Ghost of Sparta,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,0.90
711719151159,862,3.00,0.90,PSP,Gran Turismo,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.40
