categoria_id,precio_compra,sku,precio_intercambio,categoria_str,img_caratula,precio_venta,titulo
990,4.00,711719292852,6.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,10.00,Soul Sacrifice
862,0.80,5026555280143,1.40,PSP,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,4.00,Grand Theft Auto: Liberty City Stories
862,0.40,711719908128,0.90,PSP,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,3.00,God of War: Chains of Olympus
862,0.80,5026555280785,1.40,PSP,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,4.00,Grand Theft Auto Vice City Stories
862,0.01,711719142058,0.10,PSP,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,0.50,Invizimals (Solo Juego)
862,0.40,711719646266,0.90,PSP,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,3.00,Daxter
862,0.40,711719151159,0.90,PSP,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,3.00,Gran Turismo
862,0.01,711719738657,0.10,PSP,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.50,Play Chapas
862,0.01,711719169772,0.10,PSP,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.50,Invizimals La Otra Dimension (Solo Juego
862,0.80,3307211667679,1.40,PSP,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,4.00,Assassin's Creed: Bloodlines
862,0.90,711719168171,1.60,PSP,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,4.50,God of War: Ghost of Sparta
862,0.40,711719651888,0.90,PSP,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,3.00,Ratchet & Clank: El Tamano Importa
862,0.20,4012927065174,0.40,PSP,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,1.50,Pro Evolution Soccer 2012
862,0.40,711719660071,0.90,PSP,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,3.00,Tekken Dark Resurrection
862,0.40,3296580803354,0.90,PSP,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,3.00,Dragon Ball Z Shin Budokai 2
862,0.20,4005209098892,0.40,PSP,/product_images/Juegos/PSP Juegos/4005209098892_s.jpg,1.50,WWE Smackdown Vs. Raw 2008
831,8.00,045496365202,11.00,Wii,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,18.00,Mario Kart Wii (Solo Juego)
831,8.00,045496368098,11.00,Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,18.00,New Super Mario Bros. Wii
831,4.00,4260231341471,6.00,Wii,/product_images/Juegos/Wii Juegos/4260231341471_s.jpg,10.00,La Voz 2wi
831,6.00,045496363932,9.00,Wii,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,15.00,Super Mario Galaxy
831,2.00,045496367299,4.00,Wii,/product_images/Juegos/Wii Juegos/045496367299_s.jpg,12.00,Inazuma Eleven Strikers
831,6.00,045496365899,9.00,Wii,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,15.00,Super Smash Bros. Brawl
831,6.00,045496362393,9.00,Wii,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,15.00,Legend of Zelda: Twilight Princess
831,2.00,045496367473,3.00,Wii,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,10.00,Wii Sports Resort (Solo Juego)
831,1.80,045496362201,2.00,Wii,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,4.00,Wii Play (solo juego)
831,5.00,8402862155065,7.00,Wii,/product_images/Juegos/Wii Juegos/8402862155065_s.jpg,12.00,La Voz 3 (No Microphone)
831,3.00,045496363086,5.00,Wii,/product_images/Juegos/Wii Juegos/045496363086_s.jpg,8.00,Mario Strikers Charged Football
831,3.00,045496366575,5.00,Wii,/product_images/Juegos/Wii Juegos/045496366575_s.jpg,8.00,Animal Crossing Lets Go To The City (Solo Juego)
831,8.00,5055277013692,11.00,Wii,/product_images/Juegos/Wii Juegos/5055277013692_s.jpg,18.00,Mario y Sonic en los JJ.OO London 12
996,40.00,045496337087,45.00,Wii U,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,58.00,Legend of Zelda: Breath of the Wild
996,9.00,045496333288,13.00,Wii U,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,22.00,Mario Kart 8
996,9.00,045496332785,12.00,Wii U,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,20.00,Super Mario 3D World
996,12.00,045496333621,17.00,Wii U,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,28.00,Super Smash Bros
996,3.00,045496331085,5.00,Wii U,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,8.00,Nintendo Land
996,8.00,3307215655184,11.00,Wii U,/product_images/Juegos/Wii U Juegos/3307215655184_s.jpg,18.00,Rayman Legends
996,5.00,045496331207,7.00,Wii U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,12.00,New Super Mario Bros. U
996,6.00,045496332198,9.00,Wii U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,15.00,New Super Mario Bros. U & Super Luigi U
996,2.00,3307215654293,3.00,Wii U,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,5.00,ZombiU
996,8.00,0045496332716,11.00,Wii U,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,18.00,Donkey Kong Country: Tropical Freeze
996,6.00,045496334161,9.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,15.00,Mario Party 10
996,9.00,045496334475,13.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,22.00,Splatoon
996,9.00,0045496332303,13.00,Wii U,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,22.00,Legend Of Zelda: Wind Waker HD
996,5.00,045496331740,7.00,Wii U,/product_images/Juegos/Wii U Juegos/045496331740_s.jpg,12.00,Lego City Undercover
996,12.00,045496334987,17.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,28.00,Super Mario Maker
827,9.00,5026555258098,12.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,20.00,Grand Theft Auto V (5) 2 Disco
827,2.00,5030917096891,3.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,6.00,Call Of Duty: Modern Warfare 3
827,5.00,0885370606515,7.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,12.00,Minecraft
827,2.00,5030917085864,4.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,12.00,Call Of Duty: Black Ops
827,3.00,5026555256476,5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5026555256476_s.jpg,8.00,Bioshock Infinite
827,5.00,5035228112377,7.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,12.00,FIFA 15
827,6.00,5030917111679,9.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,15.00,Call Of Duty: Black Ops II
827,3.00,3307215633342,5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,8.00,Far Cry 3
827,3.00,5030917125911,5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,8.00,Call Of Duty: Ghosts *2 Disc*
827,5.00,5030938112877,8.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030938112877_s.jpg,22.00,FIFA 16
827,2.00,5030949111104,3.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,6.00,FIFA 14
827,2.00,0885370309607,3.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,6.00,Gears of War 3
827,0.90,882224721141,1.50,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,4.00,Gears of War 2
827,3.00,5055060963852,5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,8.00,Resident Evil 6 *2 Disc*
827,3.00,5026555245968,5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,8.00,Grand Theft Auto IV
1002,8.00,885370662221,11.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,18.00,Ryse: Son Of Rome
