categoria_str,precio_intercambio,precio_compra,precio_venta,titulo,img_caratula,categoria_id,sku
PSP,1.40,0.80,4.00,Pro Evolution Soccer (PES) 2013,/product_images/Juegos/PSP Juegos/4012927066225_s.jpg,862,4012927066225
PSP,0.10,0.01,0.50,Play Chapas,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,862,711719738657
PSP,0.90,0.40,3.00,Daxter,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,862,711719646266
PSP,2.00,1.60,8.00,FIFA 14,/product_images/Juegos/PSP Juegos/5030947111403_s.jpg,862,5030947111403
Wii,11.00,8.00,18.00,Mario Kart Wii (Solo Juego),/product_images/Juegos/Wii Juegos/045496365202_s.jpg,831,045496365202
Wii,15.00,11.00,25.00,New Super Mario Bros. Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,831,045496368098
Wii,3.00,2.00,6.00,Wii Play (solo juego),/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,831,045496362201
Wii,9.00,6.00,15.00,Super Smash Bros. Brawl,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,831,045496365899
Wii,9.00,6.00,15.00,Super Mario Galaxy,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,831,045496363932
Wii,9.00,6.00,15.00,Wii Sports Resort (Solo Juego),/product_images/Juegos/Wii Juegos/045496367473_s.jpg,831,045496367473
Wii,3.00,2.00,5.00,Wii Sports (Solo Juego),/product_images/Juegos/Wii Juegos/045496362102_s.jpg,831,045496362102
Wii,13.00,9.00,22.00,Super Mario Galaxy 2,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,831,045496368869
Wii,13.00,9.00,22.00,Legend of Zelda: Skyward Sword,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,831,045496400736
Wii,7.00,5.00,12.00,Legend of Zelda: Twilight Princess,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,831,045496362393
Wii,3.00,2.00,5.00,Wii Fit Plus (Solo Juego),/product_images/Juegos/Wii Juegos/045496367916_s.jpg,831,045496367916
Wii,3.00,2.00,6.00,FIFA 14,/product_images/Juegos/Wii Juegos/5030933111424_s.jpg,831,5030933111424
Wii U,17.00,12.00,28.00,Mario Kart 8,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,996,045496333288
Wii U,17.00,12.00,28.00,Super Mario 3D World,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,996,045496332785
Wii U,20.00,14.00,32.00,Super Smash Bros,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,996,045496333621
Wii U,17.00,12.00,28.00,Splatoon,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,996,045496334475
Wii U,9.00,6.00,15.00,New Super Mario Bros. U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,996,045496331207
Wii U,7.00,5.00,12.00,Nintendo Land,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,996,045496331085
Wii U,18.00,13.00,30.00,Super Mario Maker,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,996,045496334987
Wii U,12.00,9.00,20.00,Donkey Kong Country: Tropical Freeze,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,996,0045496332716
Wii U,17.00,12.00,28.00,Legend Of Zelda: Twilight Princess HD,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,996,045496335489
Wii U,11.00,8.00,18.00,New Super Mario Bros. U & Super Luigi U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,996,045496332198
Wii U,12.00,9.00,20.00,Wii Party U (Solo Juego),/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,996,045496332839
Wii U,5.00,3.00,8.00,ZombiU,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,996,3307215654293
Wii U,4.00,3.00,7.00,Call Of Duty: Black Ops II,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,996,5030917114014
Wii U,12.00,9.00,20.00,Mario Party 10,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,996,045496334161
Wii U,18.00,13.00,30.00,Paper Mario: Color Splash,/product_images/defimg5_s.jpg,996,045496337001
Xbox 360,12.00,9.00,20.00,Grand Theft Auto V (5) 2 Disco,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,827,5026555258098
Xbox 360,7.00,5.00,12.00,Call Of Duty: Black Ops,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,827,5030917085864
Xbox 360,3.00,2.00,5.00,FIFA 14,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,827,5030949111104
Xbox 360,5.00,3.00,8.00,Resident Evil 6 *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,827,5055060963852
Xbox 360,5.00,3.00,8.00,Grand Theft Auto IV,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,827,5026555245968
Xbox 360,9.00,6.00,15.00,Call Of Duty: Black Ops II,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,827,5030917111679
Xbox 360,6.00,4.00,10.00,Call Of Duty: Ghosts *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,827,5030917125911
Xbox 360,5.00,3.00,8.00,Call Of Duty: Modern Warfare 3,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,827,5030917096891
Xbox 360,1.90,1.20,5.00,Forza Motorsport 3 (2 Discos),/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,827,882224918343
Xbox 360,2.00,1.80,4.00,Gears of War 2,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,827,882224721141
Xbox 360,1.30,0.80,3.50,Gears of War,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,827,882224260145
Xbox 360,9.00,6.00,15.00,FIFA 15,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,827,5035228112377
Xbox 360,9.00,6.00,15.00,Minecraft,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,827,0885370606515
Xbox 360,3.00,2.00,6.00,Gears of War 3,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,827,0885370309607
Xbox One,46.00,42.00,60.00,Resident Evil 7: Biohazard,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,1002,5055060965924
Xbox One,28.00,23.00,42.00,FIFA 17,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,1002,5030937116425
Xbox One,11.00,8.00,18.00,Dead Rising 3,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,1002,85370663983
Xbox One,24.00,17.00,38.00,Gears of War 4,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,1002,0889842121575
