titulo,img_caratula,sku,precio_intercambio,categoria_id,precio_compra,categoria_str,precio_venta
Wii Fit Plus (Solo Juego),/product_images/Juegos/Wii Juegos/045496367916_s.jpg,045496367916,2.00,831,1.80,Wii,4.00
Mario Kart 8,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,045496333288,15.00,996,11.00,Wii U,25.00
Super Mario 3D World,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,045496332785,13.00,996,9.00,Wii U,22.00
Splatoon,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,045496334475,15.00,996,11.00,Wii U,25.00
Super Mario Maker,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,045496334987,18.00,996,13.00,Wii U,30.00
Legend of Zelda: Breath of the Wild,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,045496337087,50.00,996,45.00,Wii U,65.00
Legend Of Zelda: Wind Waker HD,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,0045496332303,12.00,996,9.00,Wii U,20.00
Nintendo Land,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,045496331085,6.00,996,4.00,Wii U,10.00
Super Smash Bros,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,045496333621,18.00,996,13.00,Wii U,30.00
Donkey Kong Country: Tropical Freeze,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,0045496332716,12.00,996,9.00,Wii U,20.00
ZombiU,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,3307215654293,3.00,996,2.00,Wii U,6.00
Legend Of Zelda: Twilight Princess HD,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,045496335489,15.00,996,11.00,Wii U,25.00
New Super Mario Bros. U & Super Luigi U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,045496332198,9.00,996,6.00,Wii U,15.00
New Super Mario Bros. U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,045496331207,9.00,996,6.00,Wii U,15.00
Bayonetta 2,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,045496333713,13.00,996,9.00,Wii U,22.00
