img_caratula,categoria_id,titulo,precio_venta,precio_compra,precio_intercambio,sku,categoria_str
/product_images/Juegos/Wii Juegos/045496369477_s.jpg,831,Donkey Kong Country Returns,15.00,6.00,9.00,045496369477,Wii
/product_images/Juegos/Wii Juegos/045496362867_s.jpg,831,Mario Party 8,18.00,8.00,11.00,045496362867,Wii
/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,996,Super Mario 3D World,25.00,11.00,15.00,045496332785,Wii U
/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,996,Mario Kart 8,28.00,12.00,17.00,045496333288,Wii U
/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,996,Super Smash Bros,32.00,14.00,20.00,045496333621,Wii U
/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,996,Nintendo Land,12.00,5.00,7.00,045496331085,Wii U
/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,996,Super Mario Maker,28.00,12.00,17.00,045496334987,Wii U
/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,996,Splatoon,30.00,13.00,18.00,045496334475,Wii U
/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,996,Call Of Duty: Black Ops II,8.00,3.00,5.00,5030917114014,Wii U
/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,996,Xenoblade Chronicles X,35.00,15.00,22.00,045496335090,Wii U
/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,996,New Super Mario Bros. U,18.00,8.00,11.00,045496331207,Wii U
/product_images/Juegos/Wii U Juegos/045496333782_s.jpg,996,Captain Toad: Treasure Tracker,28.00,12.00,17.00,045496333782,Wii U
/product_images/Juegos/Wii U Juegos/5060112431302_s.jpg,996,Rodea The Sky Solider,8.00,3.00,5.00,5060112431302,Wii U
/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,996,Mario Party 10,20.00,9.00,12.00,045496334161,Wii U
/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,996,New Super Mario Bros. U & Super Luigi U,20.00,9.00,12.00,045496332198,Wii U
/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,996,Wii Party U (Solo Juego),18.00,8.00,11.00,045496332839,Wii U
/product_images/Juegos/Wii U Juegos/8718591181337_s.jpg,996,Teslagrad,8.00,3.00,5.00,8718591181337,Wii U
/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,827,Grand Theft Auto V (5) 2 Disco,20.00,9.00,12.00,5026555258098,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,827,Call Of Duty: Black Ops II,15.00,6.00,9.00,5030917111679,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,827,Gears of War 2,4.00,1.80,2.00,882224721141,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,827,Call Of Duty: Modern Warfare 3,8.00,3.00,5.00,5030917096891,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,827,Grand Theft Auto IV,8.00,3.00,5.00,5026555245968,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,827,FIFA 14,5.00,2.00,3.00,5030949111104,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,827,Gears of War 3,6.00,2.00,3.00,0885370309607,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/885370164169_s.jpg,827,Halo: Reach,4.00,1.80,2.00,885370164169,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,827,Call Of Duty: Ghosts *2 Disc*,10.00,4.00,6.00,5030917125911,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,827,Halo 3,3.00,0.70,1.10,882224482479,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,827,Call of Duty: Modern Warfare 2,5.00,2.00,3.00,5030917071065,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,827,Gears of War,3.50,0.80,1.30,882224260145,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,827,Call Of Duty: Black Ops,12.00,5.00,7.00,5030917085864,Xbox 360
/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,827,Forza Motorsport 3 (2 Discos),5.00,1.20,1.90,882224918343,Xbox 360
/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,1002,Gears of War 4,35.00,15.00,22.00,0889842121575,Xbox One
/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,1002,Resident Evil 7: Biohazard,55.00,30.00,37.00,5055060965924,Xbox One
/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,1002,Ryse: Son Of Rome,20.00,9.00,12.00,885370662221,Xbox One
/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,1002,Call Of Duty: Black Ops III,30.00,13.00,18.00,5030917181863,Xbox One
/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,1002,Mafia III,32.00,14.00,20.00,5026555297356,Xbox One
/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,1002,Dead Rising 3,18.00,8.00,11.00,85370663983,Xbox One
/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,1002,Dead Rising 4,40.00,18.00,25.00,889842148671,Xbox One
/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,1002,Halo 5: Guardians,20.00,9.00,12.00,885370929669,Xbox One
/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,1002,Call Of Duty: Advanced Warfare,15.00,3.00,5.00,5030917147791,Xbox One
/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,1002,FIFA 17,42.00,23.00,28.00,5030937116425,Xbox One
/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,1002,For Honor,65.00,45.00,50.00,3307215915127,Xbox One
/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,1002,Grand Theft Auto V (5),42.00,18.00,26.00,5026555284127,Xbox One
/product_images/Juegos/Xbox One Juegos/3307215733134_s.jpg,1002,Watch Dogs,10.00,4.00,6.00,3307215733134,Xbox One
/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,1002,Battlefield 1,45.00,20.00,28.00,5035228113763,Xbox One
