sku,precio_compra,titulo,categoria_id,precio_intercambio,categoria_str,precio_venta,img_caratula
045496362867,6.00,Mario Party 8,831,9.00,Wii,15.00,/product_images/Juegos/Wii Juegos/045496362867_s.jpg
045496337087,43.00,Legend of Zelda: Breath of the Wild,996,48.00,Wii U,62.00,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg
045496333288,9.00,Mario Kart 8,996,13.00,Wii U,22.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg
045496331207,5.00,New Super Mario Bros. U,996,7.00,Wii U,12.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg
045496332785,9.00,Super Mario 3D World,996,12.00,Wii U,20.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg
045496331085,3.00,Nintendo Land,996,5.00,Wii U,8.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg
045496334475,9.00,Splatoon,996,13.00,Wii U,22.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg
3307215654293,2.00,ZombiU,996,3.00,Wii U,5.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg
045496333621,12.00,Super Smash Bros,996,17.00,Wii U,28.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg
045496332198,6.00,New Super Mario Bros. U & Super Luigi U,996,9.00,Wii U,15.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg
045496334987,12.00,Super Mario Maker,996,17.00,Wii U,28.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg
0045496332716,8.00,Donkey Kong Country: Tropical Freeze,996,11.00,Wii U,18.00,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg
045496333713,9.00,Bayonetta 2,996,12.00,Wii U,20.00,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg
0045496335618,12.00,Pokken Tournament (No Mewtwo Card),996,17.00,Wii U,28.00,/product_images/Juegos/Wii U Juegos/0045496335618_s.jpg
045496334161,6.00,Mario Party 10,996,9.00,Wii U,15.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg
5030917114014,2.00,Call Of Duty: Black Ops II,996,2.00,Wii U,4.50,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg
