categoria_id,precio_intercambio,img_caratula,precio_venta,precio_compra,titulo,categoria_str,sku
834,1.50,/product_images/defimg2_s.jpg,4.00,0.90,Sercet Flirts,Nintendo DS,3760137146244
862,0.90,/product_images/Juegos/PSP Juegos/4005209119931_s.jpg,3.00,0.40,Disney Pixar Up,PSP,4005209119931
862,0.40,/product_images/Juegos/PSP Juegos/4005209136259_s.jpg,1.50,0.20,Megamind,PSP,4005209136259
862,1.80,/product_images/Juegos/PSP Juegos/4005209143189_s.jpg,5.00,1.00,WWE All Stars,PSP,4005209143189
831,3.00,/product_images/Juegos/Wii Juegos/4017244022930_s.jpg,5.00,2.00,Summer Athletics 2009,Wii,4017244022930
830,0.40,/product_images/defimg2_s.jpg,1.50,0.20,Angry Birds,PC,4012160981408
830,8.00,/product_images/defimg2_s.jpg,22.00,5.00,Age of Empires III (Complete Collection),PC,882224941860
821,5.00,/product_images/Juegos/PS3 Juegos/5030934055031_s.jpg,8.00,3.00,Burnout Paradise,PlayStation 3,5030934055031
821,0.50,/product_images/Juegos/PS3 Juegos/5030934078054_s.jpg,1.50,0.30,NBA Live 10,PlayStation 3,5030934078054
834,0.70,/product_images/Juegos/DS Juegos/3760137147357_s.jpg,2.00,0.40,Brico Party,Nintendo DS,3760137147357
834,1.30,/product_images/Juegos/DS Juegos/3760137148545_s.jpg,3.50,0.80,My Baby 3 And Friends,Nintendo DS,3760137148545
862,1.80,/product_images/Juegos/PSP Juegos/4012927060186_s.jpg,5.00,1.00,Death Jr.,PSP,4012927060186
862,0.60,/product_images/Juegos/PSP Juegos/4012927060278_s.jpg,2.00,0.30,Rengoku The Tower Of Purgatory,PSP,4012927060278
827,0.70,/product_images/Juegos/Xbox 360 Juegos/882224223355_s.jpg,2.00,0.40,Ninety - Nine Nights,Xbox 360,882224223355
831,3.00,/product_images/Juegos/Wii Juegos/5017783028058_s.jpg,6.00,2.00,Ultimate Board Game Collection,Wii,5017783028058
831,5.00,/product_images/Juegos/Wii Juegos/5021290035683_s.jpg,9.00,4.00,Tomb Raider: Underworld,Wii,5021290035683
830,0.20,/product_images/defimg2_s.jpg,0.75,0.10,Formula Challenge,PC,8431019050021
830,0.90,/product_images/defimg1_s.jpg,2.50,0.50,Dungeon Siege II (SN) (4CD),PC,882224008488
821,3.00,/product_images/Juegos/PS3 Juegos/5030934078412_s.jpg,6.00,2.00,Army of Two: The 40th Day,PlayStation 3,5030934078412
821,11.00,/product_images/Juegos/PS3 Juegos/5030934103275_s.jpg,18.00,8.00,"Sims 3, Vaya Fauna!",PlayStation 3,5030934103275
834,1.30,/product_images/Juegos/DS Juegos/4005209067928_s.jpg,3.50,0.80,Los Increibles: La Amenaza del Socavador,Nintendo DS,4005209067928
834,5.00,/product_images/Juegos/DS Juegos/4005209071147_s.jpg,8.00,3.00,Bob Esponja: El Vengador Amarillo,Nintendo DS,4005209071147
862,1.40,/product_images/defimg4_s.jpg,4.00,0.80,"Frogger, Helmet Chaos",PSP,4012927060346
862,9.00,/product_images/Juegos/PSP Juegos/4012927060582_s.jpg,25.00,5.00,The Ark of Napishtim,PSP,4012927060582
862,0.30,/product_images/Juegos/PSP Juegos/4012927060728_s.jpg,1.00,0.10,Pocket Racers,PSP,4012927060728
