precio_compra,precio_venta,titulo,categoria_str,categoria_id,img_caratula,precio_intercambio,sku
2.00,6.00,Halo 4 *2 Disc*,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/885370439939_s.jpg,3.00,885370439939
18.00,40.00,Grand Theft Auto V (5),Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,25.00,5026555284127
17.00,38.00,Dead Rising 4,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,24.00,889842148671
23.00,42.00,FIFA 17,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,28.00,5030937116425
8.00,18.00,Dead Rising 3,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,11.00,85370663983
18.00,42.00,Battlefield 1,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,26.00,5035228113763
42.00,60.00,Resident Evil 7: Biohazard,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,46.00,5055060965924
9.00,20.00,Ryse: Son Of Rome,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,12.00,885370662221
6.00,15.00,Doom (2016),Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5055856403524_s.jpg,9.00,5055856403524
8.00,18.00,Halo 5: Guardians,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,11.00,885370929669
17.00,38.00,Gears of War 4,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,24.00,0889842121575
5.00,12.00,Far Cry 4,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/3307215794722_s.jpg,7.00,3307215794722
20.00,45.00,Forza Horizon 3,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/889842150070_s.jpg,28.00,889842150070
12.00,28.00,Fallout 4,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,17.00,5055856406396
9.00,20.00,Forza Motorsport 5,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,12.00,885370662023
4.00,10.00,Homefront: The Revolution,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/4020628868543_s.jpg,6.00,4020628868543
15.00,35.00,Far Cry Primal,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,22.00,3307215938782
9.00,20.00,Watch Dogs,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,12.00,3307215732939
14.00,32.00,Star Wars: Battlefront,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,20.00,5030934121637
9.00,22.00,Far Cry 4,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,13.00,3307215793633
9.00,22.00,Metal Gear Solid V: The Phantom Pain,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,13.00,4012927100417
14.00,32.00,Fallout 4,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,20.00,5055856406242
18.00,42.00,"Last of Us, The - Remastered",PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,26.00,711719407515
13.00,30.00,Batman: Arkham Knight,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,18.00,5051893179637
5.00,12.00,Killzone: Shadow Fall,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,7.00,711719275473
12.00,28.00,Doom (2016),PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,17.00,5055856403418
