titulo,sku,precio_venta,precio_compra,img_caratula,precio_intercambio,categoria_id,categoria_str
Splatoon,045496334475,28.00,12.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,17.00,996,Wii U
New Super Mario Bros. U & Super Luigi U,045496332198,18.00,8.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,11.00,996,Wii U
Legend Of Zelda: Twilight Princess HD,045496335489,28.00,12.00,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,17.00,996,Wii U
Xenoblade Chronicles X,045496335090,35.00,15.00,/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,22.00,996,Wii U
Yoshi's Woolly World,045496334697,28.00,12.00,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,17.00,996,Wii U
Bayonetta 2,045496333713,22.00,9.00,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,13.00,996,Wii U
Call Of Duty: Black Ops II,5030917114014,7.00,3.00,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,4.00,996,Wii U
Grand Theft Auto V (5) 2 Disco,5026555258098,18.00,8.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,11.00,827,Xbox 360
FIFA 15,5035228112377,12.00,5.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,7.00,827,Xbox 360
Call Of Duty: Black Ops II,5030917111679,15.00,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,9.00,827,Xbox 360
Call Of Duty: Modern Warfare 3,5030917096891,8.00,3.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,5.00,827,Xbox 360
Gears of War,882224260145,4.00,0.90,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,1.50,827,Xbox 360
Call Of Duty: Ghosts *2 Disc*,5030917125911,8.00,3.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,5.00,827,Xbox 360
FIFA 14,5030949111104,6.00,2.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,3.00,827,Xbox 360
Battlefield 3 *2 Discos*,5030934102421,6.00,2.00,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,3.00,827,Xbox 360
