categoria_str,sku,titulo,img_caratula,precio_intercambio,categoria_id,precio_compra,precio_venta
Xbox One,5035228113763,Battlefield 1,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,25.00,1002,18.00,40.00
Xbox One,3307215938508,Far Cry Primal,/product_images/Juegos/Xbox One Juegos/3307215938508_s.jpg,12.00,1002,9.00,20.00
Xbox One,5030917147791,Call Of Duty: Advanced Warfare,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,5.00,1002,3.00,15.00
Xbox One,885370951844,Gears Of War: Ultimate Edition,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,7.00,1002,5.00,12.00
Xbox One,885370662221,Ryse: Son Of Rome,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,11.00,1002,8.00,18.00
Xbox One,3307215805336,Assassin's Creed: Unity,/product_images/Juegos/Xbox One Juegos/3307215805336_s.jpg,9.00,1002,6.00,15.00
Xbox One,889842056655,Quantum Break,/product_images/Juegos/Xbox One Juegos/889842056655_s.jpg,12.00,1002,9.00,20.00
PlayStation 4,3307215893227,Assassin's Creed: Syndicate,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,13.00,1001,9.00,22.00
PlayStation 4,3307215803530,Assassin's Creed: Unity,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,12.00,1001,9.00,20.00
PlayStation 4,5030934121637,Star Wars: Battlefront,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,12.00,1001,9.00,20.00
PlayStation 4,5021290072985,Final Fantasy XV,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,24.00,1001,17.00,38.00
PlayStation 4,3307215732939,Watch Dogs,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,7.00,1001,5.00,12.00
PlayStation 4,711719407515,"Last of Us, The - Remastered",/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,22.00,1001,15.00,35.00
PlayStation 4,3307215793633,Far Cry 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,11.00,1001,8.00,18.00
PlayStation 4,5051893179637,Batman: Arkham Knight,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,13.00,1001,9.00,22.00
PlayStation 4,3307215889121,Rainbow Six: Siege,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,26.00,1001,18.00,42.00
PlayStation 4,4012927100417,Metal Gear Solid V: The Phantom Pain,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,11.00,1001,8.00,18.00
PlayStation 4,3391891979016,Witcher 3: Wild Hunt,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,18.00,1001,13.00,30.00
PlayStation 4,711719843337,God of War 3 - Remasterizado,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,12.00,1001,9.00,20.00
PlayStation 4,5030917124549,Destiny,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,3.00,1001,2.00,10.00
PlayStation 4,5055856403418,Doom (2016),/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,12.00,1001,9.00,20.00
PlayStation 4,0711719278870,InFamous Second Son,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,13.00,1001,9.00,22.00
PlayStation 4,5055856406242,Fallout 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,17.00,1001,12.00,28.00
PlayStation 4,5030917148019,Call Of Duty: Advanced Warfare,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,8.00,1001,5.00,22.00
PlayStation 4,711719866534,Uncharted: The Nathan Drake Collection,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,22.00,1001,15.00,35.00
PlayStation 4,711719838951,"Last Guardian, The",/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,20.00,1001,14.00,32.00
PlayStation 4,5030917188893,Overwatch,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,32.00,1001,23.00,52.00
PlayStation 4,5030947112387,FIFA 15,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,1.50,1001,0.70,5.00
PlayStation 4,5030936111346,Battlefield 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,11.00,1001,8.00,18.00
PlayStation 4,5051893165128,"Tierra-Media, La: Sombras De Mordor",/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,15.00,1001,11.00,25.00
PlayStation 4,711719275473,Killzone: Shadow Fall,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,3.00,1001,2.00,10.00
PlayStation 4,711719817963,Nioh,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,42.00,1001,34.00,62.00
PlayStation 4,3307215715239,Assassin's Creed 4: Black Flag,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,13.00,1001,9.00,22.00
PlayStation 4,5035223113737,Need For Speed (2015),/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,20.00,1001,14.00,32.00
PlayStation 4,5021290074811,Rise of the Tomb Raider,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,25.00,1001,18.00,40.00
PlayStation 4,5026555422079,NBA 2K17,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,30.00,1001,21.00,48.00
PlayStation 4,4020628868550,Homefront: The Revolution,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,7.00,1001,5.00,12.00
PlayStation 4,711719439912,Minecraft,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,20.00,1001,14.00,32.00
PlayStation 4,0711719800415,Bloodborne,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,17.00,1001,12.00,28.00
PlayStation 4,0711719849834,No Man's Sky,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,12.00,1001,9.00,20.00
PlayStation 4,0711719284697,"Order 1886, The",/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,12.00,1001,9.00,20.00
