categoria_str,precio_intercambio,precio_venta,img_caratula,precio_compra,titulo,categoria_id,sku
Wii U,11.00,18.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,8.00,Mario Party 10,996,045496334161
Wii U,12.00,20.00,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,9.00,Wii Party U (Solo Juego),996,045496332839
Wii U,9.00,15.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,6.00,New Super Mario Bros. U & Super Luigi U,996,045496332198
Wii U,20.00,32.00,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,14.00,Yoshi's Woolly World,996,045496334697
Wii U,12.00,20.00,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,9.00,Donkey Kong Country: Tropical Freeze,996,0045496332716
Wii U,18.00,30.00,/product_images/Juegos/Wii U Juegos/0045496335618_s.jpg,13.00,Pokken Tournament (No Mewtwo Card),996,0045496335618
Wii U,3.00,6.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,2.00,ZombiU,996,3307215654293
Xbox 360,7.00,12.00,/product_images/Juegos/Xbox 360 Juegos/5026555264785_s.jpg,5.00,NBA 2K16,827,5026555264785
Xbox 360,12.00,20.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,9.00,Grand Theft Auto V (5) 2 Disco,827,5026555258098
Xbox 360,9.00,15.00,/product_images/Juegos/Xbox 360 Juegos/5030917147685_s.jpg,6.00,Call Of Duty: Advanced Warfare (2 Disc),827,5030917147685
Xbox 360,7.00,12.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,5.00,FIFA 15,827,5035228112377
Xbox 360,9.00,15.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,6.00,Call Of Duty: Black Ops II,827,5030917111679
Xbox 360,5.00,8.00,/product_images/Juegos/Xbox 360 Juegos/3307211666658_s.jpg,3.00,Assassin's Creed II,827,3307211666658
Xbox 360,3.00,6.00,/product_images/Juegos/Xbox 360 Juegos/3307215590010_s.jpg,2.00,Assassin's Creed: Revelations,827,3307215590010
Xbox 360,0.70,2.00,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,0.40,FIFA 13,827,5030934109734
Xbox 360,3.00,6.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,2.00,Gears of War 3,827,0885370309607
Xbox 360,5.00,8.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,3.00,Grand Theft Auto IV,827,5026555245968
Xbox 360,7.00,12.00,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,5.00,Minecraft,827,0885370606515
Xbox 360,3.00,5.00,/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,2.00,Forza Motorsport 3 (2 Discos),827,882224918343
Xbox 360,3.00,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,2.00,Call Of Duty: Modern Warfare 3,827,5030917096891
Xbox 360,3.00,6.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,2.00,FIFA 14,827,5030949111104
Xbox One,54.00,70.00,/product_images/Juegos/Xbox One Juegos/3307215913161_s.jpg,49.00,Ghost Recon: Wildlands (Sin DLC),1002,3307215913161
Xbox One,22.00,35.00,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,15.00,Dead Rising 4,1002,889842148671
Xbox One,20.00,32.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,14.00,Gears of War 4,1002,0889842121575
Xbox One,24.00,38.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,17.00,Grand Theft Auto V (5),1002,5026555284127
Xbox One,25.00,40.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,18.00,FIFA 17,1002,5030937116425
Xbox One,11.00,18.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,8.00,Halo 5: Guardians,1002,885370929669
Xbox One,20.00,32.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,14.00,Call Of Duty: Black Ops III,1002,5030917181863
Xbox One,7.00,12.00,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,5.00,Gears Of War: Ultimate Edition,1002,885370951844
Xbox One,42.00,62.00,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,34.00,For Honor,1002,3307215915127
Xbox One,9.00,15.00,/product_images/Juegos/Xbox One Juegos/3307215805336_s.jpg,6.00,Assassin's Creed: Unity,1002,3307215805336
Xbox One,25.00,40.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,18.00,Battlefield 1,1002,5035228113763
Xbox One,15.00,25.00,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,11.00,Rise Of The Tomb Raider,1002,885370984750
Xbox One,9.00,15.00,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,6.00,Star Wars: Battlefront,1002,5030947121631
Xbox One,11.00,18.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,8.00,Ryse: Son Of Rome,1002,885370662221
Xbox One,13.00,22.00,/product_images/Juegos/Xbox One Juegos/5055856403524_s.jpg,9.00,Doom (2016),1002,5055856403524
PlayStation 4,24.00,38.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,17.00,Final Fantasy XV,1001,5021290072985
PlayStation 4,17.00,28.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,12.00,Far Cry Primal,1001,3307215938782
PlayStation 4,7.00,12.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,5.00,Watch Dogs,1001,3307215732939
PlayStation 4,26.00,42.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,18.00,Rainbow Six: Siege,1001,3307215889121
PlayStation 4,12.00,20.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,9.00,Assassin's Creed: Unity,1001,3307215803530
PlayStation 4,12.00,20.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,9.00,Star Wars: Battlefront,1001,5030934121637
PlayStation 4,22.00,35.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,15.00,"Last of Us, The - Remastered",1001,711719407515
PlayStation 4,13.00,22.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,9.00,Batman: Arkham Knight,1001,5051893179637
