precio_compra,img_caratula,categoria_str,sku,categoria_id,precio_venta,precio_intercambio,titulo
1.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,PSP,3307211667679,862,5.00,1.80,Assassin's Creed: Bloodlines
0.01,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,PSP,711719169772,862,0.50,0.10,Invizimals La Otra Dimension (Solo Juego
0.40,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,PSP,711719651888,862,3.00,0.90,Ratchet & Clank: El Tamano Importa
0.40,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,PSP,711719908128,862,3.00,0.90,God of War: Chains of Olympus
0.01,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,PSP,8414646244995,862,0.50,0.10,Invizimals: Las tribus perdidas
0.80,/product_images/Juegos/PSP Juegos/5030934109888_s.jpg,PSP,5030934109888,862,4.00,1.40,FIFA 13
0.01,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,PSP,711719738657,862,0.50,0.10,Play Chapas
0.80,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,PSP,3296580803354,862,4.00,1.40,Dragon Ball Z Shin Budokai 2
0.01,/product_images/Juegos/PSP Juegos/4012927063354_s.jpg,PSP,4012927063354,862,0.50,0.10,Pro Evolution Soccer 2009
0.80,/product_images/Juegos/PSP Juegos/4012927066225_s.jpg,PSP,4012927066225,862,4.00,1.40,Pro Evolution Soccer (PES) 2013
1.60,/product_images/Juegos/PSP Juegos/5030947111403_s.jpg,PSP,5030947111403,862,8.00,2.00,FIFA 14
0.01,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,PSP,711719142058,862,0.50,0.10,Invizimals (Solo Juego)
8.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,Wii,045496365202,831,18.00,11.00,Mario Kart Wii (Solo Juego)
2.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,Wii,045496362201,831,6.00,3.00,Wii Play (solo juego)
11.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,Wii,045496368098,831,25.00,15.00,New Super Mario Bros. Wii
6.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,Wii,045496363932,831,15.00,9.00,Super Mario Galaxy
6.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,Wii,045496367473,831,15.00,9.00,Wii Sports Resort (Solo Juego)
6.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,Wii,045496365899,831,15.00,9.00,Super Smash Bros. Brawl
2.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,Wii,045496362102,831,5.00,3.00,Wii Sports (Solo Juego)
9.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,Wii,045496368869,831,22.00,13.00,Super Mario Galaxy 2
9.00,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,Wii,045496400736,831,22.00,13.00,Legend of Zelda: Skyward Sword
5.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,Wii,045496362393,831,12.00,7.00,Legend of Zelda: Twilight Princess
2.00,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,Wii,045496367916,831,5.00,3.00,Wii Fit Plus (Solo Juego)
2.00,/product_images/Juegos/Wii Juegos/5030933111424_s.jpg,Wii,5030933111424,831,6.00,3.00,FIFA 14
12.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,Wii U,045496333288,996,28.00,17.00,Mario Kart 8
12.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,Wii U,045496332785,996,28.00,17.00,Super Mario 3D World
14.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,Wii U,045496333621,996,32.00,20.00,Super Smash Bros
12.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,Wii U,045496334475,996,28.00,17.00,Splatoon
5.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,Wii U,045496331085,996,12.00,7.00,Nintendo Land
13.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,Wii U,045496334987,996,30.00,18.00,Super Mario Maker
3.00,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,Wii U,5030917114014,996,7.00,4.00,Call Of Duty: Black Ops II
9.00,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,Wii U,0045496332716,996,20.00,12.00,Donkey Kong Country: Tropical Freeze
8.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,Wii U,045496332198,996,18.00,11.00,New Super Mario Bros. U & Super Luigi U
6.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,Wii U,045496331207,996,15.00,9.00,New Super Mario Bros. U
9.00,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,Wii U,045496332839,996,20.00,12.00,Wii Party U (Solo Juego)
3.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,Wii U,3307215654293,996,8.00,5.00,ZombiU
9.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,Wii U,045496334161,996,20.00,12.00,Mario Party 10
13.00,/product_images/defimg1_s.jpg,Wii U,045496337001,996,30.00,18.00,Paper Mario: Color Splash
