precio_venta,titulo,precio_compra,categoria_id,img_caratula,precio_intercambio,sku,categoria_str
22.00,Super Mario 3D World,9.00,996,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,13.00,045496332785,Wii U
25.00,Legend Of Zelda: Twilight Princess HD,11.00,996,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,15.00,045496335489,Wii U
6.00,ZombiU,2.00,996,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,3.00,3307215654293,Wii U
30.00,Super Smash Bros,13.00,996,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,18.00,045496333621,Wii U
15.00,New Super Mario Bros. U & Super Luigi U,6.00,996,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,9.00,045496332198,Wii U
20.00,Legend Of Zelda: Wind Waker HD,9.00,996,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,12.00,0045496332303,Wii U
60.00,Legend of Zelda: Breath of the Wild,42.00,996,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,46.00,045496337087,Wii U
30.00,Pokken Tournament (No Mewtwo Card),13.00,996,/product_images/Juegos/Wii U Juegos/0045496335618_s.jpg,18.00,0045496335618,Wii U
20.00,Wii Party U (Solo Juego),9.00,996,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,12.00,045496332839,Wii U
18.00,Mario Party 10,8.00,996,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,11.00,045496334161,Wii U
20.00,Donkey Kong Country: Tropical Freeze,9.00,996,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,12.00,0045496332716,Wii U
20.00,Grand Theft Auto V (5) 2 Disco,9.00,827,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,12.00,5026555258098,Xbox 360
6.00,FIFA 14,2.00,827,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,3.00,5030949111104,Xbox 360
4.00,Gears of War 2,0.90,827,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,1.50,882224721141,Xbox 360
6.00,Battlefield 3 *2 Discos*,1.40,827,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,2.00,5030934102421,Xbox 360
6.00,Call Of Duty: Modern Warfare 3,2.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,3.00,5030917096891,Xbox 360
2.00,FIFA 13,0.40,827,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,0.70,5030934109734,Xbox 360
15.00,Call Of Duty: Black Ops II,6.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,9.00,5030917111679,Xbox 360
3.00,Halo 3,0.70,827,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,1.10,882224482479,Xbox 360
12.00,Minecraft,5.00,827,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,7.00,0885370606515,Xbox 360
8.00,Call Of Duty: Ghosts *2 Disc*,3.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,5.00,5030917125911,Xbox 360
6.00,Call of Duty: Modern Warfare 2,2.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,3.00,5030917071065,Xbox 360
12.00,FIFA 15,5.00,827,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,7.00,5035228112377,Xbox 360
5.00,Assassin's Creed,2.00,827,/product_images/Juegos/Xbox 360 Juegos/3307210263421_s.jpg,3.00,3307210263421,Xbox 360
12.00,Red Dead Redemption,5.00,827,/product_images/Juegos/Xbox 360 Juegos/5026555248266_s.jpg,7.00,5026555248266,Xbox 360
40.00,FIFA 17,18.00,1002,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,25.00,5030937116425,Xbox One
32.00,Gears of War 4,14.00,1002,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,20.00,0889842121575,Xbox One
32.00,Call Of Duty: Black Ops III,14.00,1002,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,20.00,5030917181863,Xbox One
40.00,Battlefield 1,18.00,1002,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,25.00,5035228113763,Xbox One
18.00,Ryse: Son Of Rome,8.00,1002,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,11.00,885370662221,Xbox One
38.00,Grand Theft Auto V (5),17.00,1002,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,24.00,5026555284127,Xbox One
35.00,Watch Dogs 2,15.00,1002,/product_images/Juegos/Xbox One Juegos/3307215969977_s.jpg,22.00,3307215969977,Xbox One
35.00,Dead Rising 4,15.00,1002,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,22.00,889842148671,Xbox One
58.00,Halo Wars 2,32.00,1002,/product_images/Juegos/Xbox One Juegos/889842149166_s.jpg,39.00,889842149166,Xbox One
15.00,Star Wars: Battlefront,6.00,1002,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,9.00,5030947121631,Xbox One
22.00,Fallout 4,9.00,1002,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,13.00,5055856406396,Xbox One
35.00,Final Fantasy XV,15.00,1002,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,22.00,5021290073081,Xbox One
12.00,Gears Of War: Ultimate Edition,5.00,1002,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,7.00,885370951844,Xbox One
52.00,Resident Evil 7: Biohazard,29.00,1002,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,35.00,5055060965924,Xbox One
25.00,Rise Of The Tomb Raider,11.00,1002,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,15.00,885370984750,Xbox One
18.00,Metal Gear Solid V: The Phantom Pain,8.00,1001,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,11.00,4012927100417,PlayStation 4
18.00,Far Cry 4,8.00,1001,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,11.00,3307215793633,PlayStation 4
20.00,Assassin's Creed: Unity,9.00,1001,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,12.00,3307215803530,PlayStation 4
22.00,Assassin's Creed: Syndicate,9.00,1001,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,13.00,3307215893227,PlayStation 4
28.00,Far Cry Primal,12.00,1001,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,17.00,3307215938782,PlayStation 4
35.00,"Last of Us, The - Remastered",15.00,1001,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,22.00,711719407515,PlayStation 4
20.00,Star Wars: Battlefront,9.00,1001,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,12.00,5030934121637,PlayStation 4
10.00,Destiny,2.00,1001,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,3.00,5030917124549,PlayStation 4
70.00,Ghost Recon: Wildlands (Sin DLC),49.00,1001,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,54.00,3307215913024,PlayStation 4
