titulo,img_caratula,categoria_id,categoria_str,precio_intercambio,sku,precio_venta,precio_compra
FIFA 13,/product_images/Juegos/Wii Juegos/5030934109871_s.jpg,831,Wii,5.00,5030934109871,8.00,3.00
Triiviial,/product_images/Juegos/Wii Juegos/5030934060653_s.jpg,831,Wii,6.00,5030934060653,10.00,4.00
Rayman Raving Rabbids 2,/product_images/Juegos/Wii Juegos/3307210327680_s.jpg,831,Wii,3.00,3307210327680,5.00,2.00
Super Paper Mario,/product_images/Juegos/Wii Juegos/045496363475_s.jpg,831,Wii,9.00,045496363475,15.00,6.00
Bakugan Battle Brawlers,/product_images/Juegos/Wii Juegos/5030917075759_s.jpg,831,Wii,0.90,5030917075759,2.50,0.60
Mario Kart Wii (Sobre De Carton),/product_images/Juegos/Wii Juegos/04549636MKNC_s.jpg,831,Wii,11.00,04549636,18.00,8.00
Grand Slam Tennis (Solo Juego),/product_images/Juegos/Wii Juegos/5030934073691_s.jpg,831,Wii,3.00,5030934073691,6.00,2.00
Avatar: El Videojuego,/product_images/Juegos/Wii Juegos/3307211679016_s.jpg,831,Wii,5.00,3307211679016,8.00,3.00
Rayman Raving Rabbids TV,/product_images/Juegos/Wii Juegos/3307211503489_s.jpg,831,Wii,3.00,3307211503489,6.00,2.00
Michael Jackson: The Experience,/product_images/Juegos/Wii Juegos/3307219902826_s.jpg,831,Wii,3.00,3307219902826,5.00,2.00
Big Brain Academy,/product_images/Juegos/Wii Juegos/045496363383_s.jpg,831,Wii,3.00,045496363383,6.00,2.00
Resident Evil 4,/product_images/Juegos/Wii Juegos/045496363277_s.jpg,831,Wii,7.00,045496363277,12.00,5.00
Call of Duty 3,/product_images/Juegos/Wii Juegos/5030917038303_s.jpg,831,Wii,4.00,5030917038303,7.00,3.00
Call Of Duty: Modern Warfare Reflex Ed.,/product_images/Juegos/Wii Juegos/5030917070938_s.jpg,831,Wii,6.00,5030917070938,10.00,4.00
FIFA 10,/product_images/Juegos/Wii Juegos/5030934078023_s.jpg,831,Wii,0.50,5030934078023,1.50,0.30
Raving Rabbids Regreso al Pasado,/product_images/Juegos/Wii Juegos/3307217936892_s.jpg,831,Wii,5.00,3307217936892,8.00,3.00
Xenoblade Chronicles X,/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,996,Wii U,22.00,045496335090,35.00,15.00
Captain Toad: Treasure Tracker,/product_images/Juegos/Wii U Juegos/045496333782_s.jpg,996,Wii U,15.00,045496333782,25.00,11.00
Paper Mario: Color Splash,/product_images/defimg3_s.jpg,996,Wii U,18.00,045496337001,30.00,13.00
Lego City Undercover,/product_images/Juegos/Wii U Juegos/045496331740_s.jpg,996,Wii U,9.00,045496331740,15.00,6.00
Legend Of Zelda: Wind Waker HD,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,996,Wii U,12.00,0045496332303,20.00,9.00
Legend Of Zelda: Twilight Princess HD,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,996,Wii U,17.00,045496335489,28.00,12.00
Pokken Tournament (No Mewtwo Card),/product_images/Juegos/Wii U Juegos/0045496335618_s.jpg,996,Wii U,24.00,0045496335618,38.00,17.00
Mario Party 10,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,996,Wii U,12.00,045496334161,20.00,9.00
Rayman Legends,/product_images/Juegos/Wii U Juegos/3307215655184_s.jpg,996,Wii U,11.00,3307215655184,18.00,8.00
Assassins Creed 3,/product_images/Juegos/Wii U Juegos/3307215655078_s.jpg,996,Wii U,5.00,3307215655078,8.00,3.00
Just Dance 2017,/product_images/defimg2_s.jpg,996,Wii U,22.00,3307215968154,35.00,15.00
Star Fox Zero,/product_images/Juegos/Wii U Juegos/0045496335250_s.jpg,996,Wii U,20.00,0045496335250,32.00,14.00
Monster Hunter 3: Ultimate,/product_images/Juegos/Wii U Juegos/045496331535_s.jpg,996,Wii U,12.00,045496331535,20.00,9.00
Pikmin 3,/product_images/Juegos/Wii U Juegos/045496331948_s.jpg,996,Wii U,13.00,045496331948,22.00,9.00
Bayonetta,/product_images/Juegos/Wii U Juegos/045496333911_s.jpg,996,Wii U,11.00,045496333911,18.00,8.00
FIFA 13,/product_images/Juegos/Wii U Juegos/5030934110068_s.jpg,996,Wii U,9.00,5030934110068,15.00,6.00
Just Dance 4,/product_images/Juegos/Wii U Juegos/3307215654460_s.jpg,996,Wii U,5.00,3307215654460,8.00,3.00
Epic Mickey 2: El Retorno De Dos Heroes,/product_images/Juegos/Wii U Juegos/045496331030_s.jpg,996,Wii U,9.00,045496331030,15.00,6.00
Mass Effect 3,/product_images/Juegos/Wii U Juegos/5030945110354_s.jpg,996,Wii U,6.00,5030945110354,10.00,4.00
Teslagrad,/product_images/Juegos/Wii U Juegos/8718591181337_s.jpg,996,Wii U,6.00,8718591181337,10.00,4.00
Lego Marvel Superheroes,/product_images/Juegos/Wii U Juegos/5051893143423_s.jpg,996,Wii U,11.00,5051893143423,18.00,8.00
Mario & Sonic en Juegos Olímpicos de Inv,/product_images/Juegos/Wii U Juegos/045496332648_s.jpg,996,Wii U,11.00,045496332648,18.00,8.00
Batman Arkham City- Armoured Edition,/product_images/Juegos/Wii U Juegos/5051893130027_s.jpg,996,Wii U,7.00,5051893130027,12.00,5.00
NBA 2K 2013,/product_images/Juegos/Wii U Juegos/5026555045612_s.jpg,996,Wii U,3.00,5026555045612,5.00,2.00
Call Of Duty: Ghosts,/product_images/Juegos/Wii U Juegos/5030917125836_s.jpg,996,Wii U,6.00,5030917125836,10.00,4.00
Rodea The Sky Solider,/product_images/Juegos/Wii U Juegos/5060112431302_s.jpg,996,Wii U,6.00,5060112431302,10.00,4.00
Disney Infinity 2.0 Marvel Super Heroes Starter Pack,/product_images/Juegos/Wii U Juegos/8717418434540_s.jpg,996,Wii U,7.00,8717418434540,12.00,5.00
Los Vengadores: Batalla Por La Tierra,/product_images/Juegos/Wii U Juegos/3307215654675_s.jpg,996,Wii U,7.00,3307215654675,12.00,5.00
Sonic - Lost World,/product_images/Juegos/Wii U Juegos/045496332990_s.jpg,996,Wii U,15.00,045496332990,25.00,11.00
Just Dance 2016,/product_images/Juegos/Wii U Juegos/3307215897966_s.jpg,996,Wii U,11.00,3307215897966,18.00,8.00
Deus Ex: Human Revolution - DC,/product_images/Juegos/Wii U Juegos/5021290055711_s.jpg,996,Wii U,11.00,5021290055711,18.00,8.00
Mario Tennis Smash Ultra,/product_images/Juegos/Wii U Juegos/045496335359_s.jpg,996,Wii U,11.00,045496335359,18.00,8.00
Minecraft,/product_images/Juegos/Wii U Juegos/045496336356_s.jpg,996,Wii U,18.00,045496336356,30.00,13.00
Skylanders Trap Team Starter Pack,/product_images/Juegos/Wii U Juegos/5030917147043_s.jpg,996,Wii U,5.00,5030917147043,8.00,3.00
LEGO Jurassic World (No Figure),/product_images/Juegos/Wii U Juegos/5051893218480_s.jpg,996,Wii U,13.00,5051893218480,22.00,9.00
Game & Wario,/product_images/Juegos/Wii U Juegos/045496331818_s.jpg,996,Wii U,13.00,045496331818,22.00,9.00
Resident Evil: Revelations,/product_images/Juegos/Wii U Juegos/5055060952467_s.jpg,996,Wii U,11.00,5055060952467,18.00,8.00
Need For Speed - Most Wanted,/product_images/Juegos/Wii U Juegos/5030934109819_s.jpg,996,Wii U,11.00,5030934109819,18.00,8.00
"Wonderful 101, The",/product_images/Juegos/Wii U Juegos/045496332143_s.jpg,996,Wii U,30.00,045496332143,48.00,21.00
Ninja Gaiden III: Razor's Edge,/product_images/Juegos/Wii U Juegos/045496331344_s.jpg,996,Wii U,7.00,045496331344,12.00,5.00
New Super Luigi U,/product_images/Juegos/Wii U Juegos/045496332051_s.jpg,996,Wii U,17.00,045496332051,28.00,12.00
Just Dance 2015,/product_images/defimg4_s.jpg,996,Wii U,7.00,3307215798232,12.00,5.00
Mario & Sonic En Las Olimpiadas De Rioo 2016,/product_images/Juegos/Wii U Juegos/045496336424_s.jpg,996,Wii U,24.00,045496336424,38.00,17.00
Game Party Champions,/product_images/Juegos/Wii U Juegos/5051893132090_s.jpg,996,Wii U,9.00,5051893132090,15.00,6.00
Rabbids Land,/product_images/Juegos/Wii U Juegos/3307215654972_s.jpg,996,Wii U,11.00,3307215654972,18.00,8.00
Assassin's Creed: Revelations,/product_images/Juegos/Xbox 360 Juegos/3307215590010_s.jpg,827,Xbox 360,3.00,3307215590010,6.00,2.00
Call Of Duty: Ghosts *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,827,Xbox 360,5.00,5030917125911,8.00,3.00
Far Cry 3,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,827,Xbox 360,6.00,3307215633342,10.00,4.00
Resident Evil 5,/product_images/Juegos/Xbox 360 Juegos/5055060961612_s.jpg,827,Xbox 360,3.00,5055060961612,5.00,2.00
Call Of Duty: Advanced Warfare (2 Disc),/product_images/Juegos/Xbox 360 Juegos/5030917147685_s.jpg,827,Xbox 360,11.00,5030917147685,18.00,8.00
FIFA 12,/product_images/Juegos/Xbox 360 Juegos/5030934104104_s.jpg,827,Xbox 360,0.20,5030934104104,0.75,0.10
FIFA 13,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,827,Xbox 360,0.70,5030934109734,2.00,0.40
Assassin's Creed,/product_images/Juegos/Xbox 360 Juegos/3307210263421_s.jpg,827,Xbox 360,1.50,3307210263421,4.00,0.90
Halo 3,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,827,Xbox 360,0.90,882224482479,2.50,0.60
Grand Theft Auto: Episodes from Liberty,/product_images/Juegos/Xbox 360 Juegos/5026555249676_s.jpg,827,Xbox 360,3.00,5026555249676,6.00,2.00
Elder Scrolls V: Skyrim,/product_images/Juegos/Xbox 360 Juegos/093155141445_s.jpg,827,Xbox 360,5.00,093155141445,8.00,3.00
Assassin's Creed III (3) 2 Discos,/product_images/Juegos/Xbox 360 Juegos/3307215634936_s.jpg,827,Xbox 360,6.00,3307215634936,10.00,4.00
FIFA 11,/product_images/Juegos/Xbox 360 Juegos/5030934092340_s.jpg,827,Xbox 360,0.20,5030934092340,0.75,0.10
Forza Motorsport 4 2 Discos,/product_images/Juegos/Xbox 360 Juegos/885370309973_s.jpg,827,Xbox 360,5.00,885370309973,8.00,3.00
Gears of War 3,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,827,Xbox 360,5.00,0885370309607,9.00,4.00
Assassins Creed: Hermandad,/product_images/Juegos/Xbox 360 Juegos/3307217927234_s.jpg,827,Xbox 360,3.00,3307217927234,6.00,2.00
Halo: Reach,/product_images/Juegos/Xbox 360 Juegos/885370164169_s.jpg,827,Xbox 360,3.00,885370164169,5.00,2.00
Max Payne 3 (2 Disc),/product_images/Juegos/Xbox 360 Juegos/5026555249027_s.jpg,827,Xbox 360,3.00,5026555249027,6.00,2.00
Call of Duty: Modern Warfare 2,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,827,Xbox 360,5.00,5030917071065,8.00,3.00
Red Dead Redemption,/product_images/Juegos/Xbox 360 Juegos/5026555248266_s.jpg,827,Xbox 360,9.00,5026555248266,15.00,6.00
Fable 2,/product_images/Juegos/Xbox 360 Juegos/882224719667_s.jpg,827,Xbox 360,1.50,882224719667,4.00,0.90
Assassin's Creed II,/product_images/Juegos/Xbox 360 Juegos/3307211666658_s.jpg,827,Xbox 360,3.00,3307211666658,6.00,2.00
Dead Island,/product_images/Juegos/Xbox 360 Juegos/4020628507299_s.jpg,827,Xbox 360,1.10,4020628507299,3.00,0.70
Fallout 3,/product_images/Juegos/Xbox 360 Juegos/093155125544_s.jpg,827,Xbox 360,6.00,093155125544,10.00,4.00
Saints Row The Third,/product_images/Juegos/Xbox 360 Juegos/4005209154222_s.jpg,827,Xbox 360,3.00,4005209154222,5.00,2.00
Watch Dogs *2 Discs*,/product_images/Juegos/Xbox 360 Juegos/3307215711224_s.jpg,827,Xbox 360,11.00,3307215711224,18.00,8.00
Call of Duty 4: Modern Warfare,/product_images/Juegos/Xbox 360 Juegos/5030917047275_s.jpg,827,Xbox 360,5.00,5030917047275,8.00,3.00
Pro Evolution Soccer (PES) 2012,/product_images/Juegos/Xbox 360 Juegos/4012927035962_s.jpg,827,Xbox 360,0.50,4012927035962,1.50,0.30
Halo 4 *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/885370439939_s.jpg,827,Xbox 360,5.00,885370439939,8.00,3.00
Forza Horizon,/product_images/Juegos/Xbox 360 Juegos/885370404661_s.jpg,827,Xbox 360,9.00,885370404661,15.00,6.00
Battlefield 4 (2 Disc),/product_images/Juegos/Xbox 360 Juegos/5030938111139_s.jpg,827,Xbox 360,7.00,5030938111139,12.00,5.00
Call Of Duty: Black Ops III,/product_images/Juegos/Xbox 360 Juegos/5030917162237_s.jpg,827,Xbox 360,15.00,5030917162237,25.00,11.00
Batman: Arkham Asylum,/product_images/Juegos/Xbox 360 Juegos/5021290037236_s.jpg,827,Xbox 360,5.00,5021290037236,8.00,3.00
Splinter Cell Conviction,/product_images/Juegos/Xbox 360 Juegos/3307210329462_s.jpg,827,Xbox 360,1.30,3307210329462,3.50,0.80
WWE 2K15,/product_images/Juegos/Xbox 360 Juegos/5026555263306_s.jpg,827,Xbox 360,7.00,5026555263306,12.00,5.00
Alan Wake,/product_images/Juegos/Xbox 360 Juegos/885370091694_s.jpg,827,Xbox 360,5.00,885370091694,8.00,3.00
Assassin's Creed 4: Black Flag (2 Disc),/product_images/Juegos/Xbox 360 Juegos/3307215705728_s.jpg,827,Xbox 360,9.00,3307215705728,15.00,6.00
Far Cry 4,/product_images/Juegos/Xbox 360 Juegos/3307215794340_s.jpg,827,Xbox 360,11.00,3307215794340,18.00,8.00
Red Dead Redemption GOTY,/product_images/Juegos/Xbox 360 Juegos/5026555255042_s.jpg,827,Xbox 360,12.00,5026555255042,20.00,9.00
Destiny,/product_images/Juegos/Xbox 360 Juegos/5030917123993_s.jpg,827,Xbox 360,5.00,5030917123993,8.00,3.00
Forza Motorsport 4 Essentials Edition,/product_images/Juegos/Xbox 360 Juegos/88537030ESSE_s.jpg,827,Xbox 360,3.00,88537030,5.00,2.00
L.A Noire (3 Disc),/product_images/Juegos/Xbox 360 Juegos/5026555250795_s.jpg,827,Xbox 360,3.00,5026555250795,6.00,2.00
Rage (3 Discs),/product_images/Juegos/Xbox 360 Juegos/093155143173_s.jpg,827,Xbox 360,3.00,093155143173,5.00,2.00
Far Cry 2,/product_images/Juegos/Xbox 360 Juegos/3307210410917_s.jpg,827,Xbox 360,1.50,3307210410917,4.00,0.90
Call of Duty: World at War,/product_images/Juegos/Xbox 360 Juegos/5030917057045_s.jpg,827,Xbox 360,9.00,5030917057045,15.00,6.00
Watch Dogs,/product_images/Juegos/Xbox One Juegos/3307215733134_s.jpg,1002,Xbox One,7.00,3307215733134,12.00,5.00
Star Wars: Battlefront,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,1002,Xbox One,11.00,5030947121631,18.00,8.00
Homefront: The Revolution,/product_images/Juegos/Xbox One Juegos/4020628868543_s.jpg,1002,Xbox One,9.00,4020628868543,15.00,7.00
Rise Of The Tomb Raider,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,1002,Xbox One,16.00,885370984750,25.00,12.00
Gears Of War: Ultimate Edition,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,1002,Xbox One,9.00,885370951844,15.00,7.00
Halo 5: Guardians,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,1002,Xbox One,13.00,885370929669,20.00,9.00
Rare Replay,/product_images/Juegos/Xbox One Juegos/885370951493_s.jpg,1002,Xbox One,6.00,885370951493,10.00,4.00
Fallout 4,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,1002,Xbox One,16.00,5055856406396,25.00,12.00
FIFA 16,/product_images/Juegos/Xbox One Juegos/5030948112881_s.jpg,1002,Xbox One,3.00,5030948112881,10.00,2.00
Titanfall 2,/product_images/Juegos/Xbox One Juegos/5030937116920_s.jpg,1002,Xbox One,20.00,5030937116920,32.00,15.00
Far Cry 4,/product_images/Juegos/Xbox One Juegos/3307215794722_s.jpg,1002,Xbox One,9.00,3307215794722,15.00,7.00
FIFA 15,/product_images/Juegos/Xbox One Juegos/5030939112395_s.jpg,1002,Xbox One,0.90,5030939112395,3.00,0.40
Mafia III,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,1002,Xbox One,24.00,5026555297356,38.00,18.00
Assassin's Creed: Unity,/product_images/Juegos/Xbox One Juegos/3307215805336_s.jpg,1002,Xbox One,11.00,3307215805336,18.00,8.00
"Division, The",/product_images/Juegos/Xbox One Juegos/3307215804315_s.jpg,1002,Xbox One,14.00,3307215804315,22.00,10.00
Doom (2016),/product_images/Juegos/Xbox One Juegos/5055856403524_s.jpg,1002,Xbox One,13.00,5055856403524,20.00,9.00
Watch Dogs 2,/product_images/Juegos/Xbox One Juegos/3307215969977_s.jpg,1002,Xbox One,29.00,3307215969977,45.00,21.00
Quantum Break,/product_images/Juegos/Xbox One Juegos/889842056655_s.jpg,1002,Xbox One,13.00,889842056655,20.00,9.00
Assassin's Creed: Syndicate,/product_images/Juegos/Xbox One Juegos/3307215893951_s.jpg,1002,Xbox One,14.00,3307215893951,22.00,10.00
Halo: The Master Chief Collection,/product_images/Juegos/Xbox One Juegos/0885370863956_s.jpg,1002,Xbox One,9.00,0885370863956,15.00,7.00
"Tierra-Media, La: Sombras De Mordor",/product_images/Juegos/Xbox One Juegos/5051893165111_s.jpg,1002,Xbox One,11.00,5051893165111,18.00,8.00
Dark Souls III,/product_images/Juegos/Xbox One Juegos/3391891987523_s.jpg,1002,Xbox One,20.00,3391891987523,32.00,15.00
Minecraft,/product_images/Juegos/Xbox One Juegos/885370607789_s.jpg,1002,Xbox One,3.00,885370607789,6.00,2.00
Forza Motorsport 6,/product_images/Juegos/Xbox One Juegos/885370901726_s.jpg,1002,Xbox One,20.00,885370901726,32.00,15.00
Alien Isolation,/product_images/Juegos/Xbox One Juegos/5055277024681_s.jpg,1002,Xbox One,9.00,5055277024681,14.00,6.00
Ghostbusters (2016),/product_images/Juegos/Xbox One Juegos/5030917195358_s.jpg,1002,Xbox One,14.00,5030917195358,22.00,10.00
Battlefield 4,/product_images/Juegos/Xbox One Juegos/5030944111345_s.jpg,1002,Xbox One,3.00,5030944111345,10.00,2.00
Call Of Duty: Infinite Warfare,/product_images/defimg3_s.jpg,1002,Xbox One,20.00,5030917196942,32.00,15.00
Elder Scrolls V: Skyrim - Special Edition,/product_images/Juegos/Xbox One Juegos/5055856411697_s.jpg,1002,Xbox One,24.00,5055856411697,38.00,18.00
Resident Evil 7: Biohazard,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,1002,Xbox One,46.00,5055060965924,60.00,42.00
Dragon Ball Xenoverse 2,/product_images/defimg4_s.jpg,1002,Xbox One,24.00,3391891990189,38.00,18.00
Metro Redux,/product_images/Juegos/Xbox One Juegos/4020628886332_s.jpg,1002,Xbox One,9.00,4020628886332,15.00,7.00
Dying Light,/product_images/Juegos/Xbox One Juegos/5051893170115_s.jpg,1002,Xbox One,16.00,5051893170115,25.00,12.00
Sunset Overdrive,/product_images/Juegos/Xbox One Juegos/885370853889_s.jpg,1002,Xbox One,9.00,885370853889,15.00,7.00
Batman: Arkham Knight,/product_images/Juegos/Xbox One Juegos/5051893179644_s.jpg,1002,Xbox One,14.00,5051893179644,22.00,10.00
Rainbow Six: Siege,/product_images/Juegos/Xbox One Juegos/3307215889336_s.jpg,1002,Xbox One,13.00,3307215889336,20.00,9.00
Call Of Duty: Ghosts,/product_images/Juegos/Xbox One Juegos/5030917126017_s.jpg,1002,Xbox One,3.00,5030917126017,10.00,2.00
Dragon Age: Inquisition,/product_images/Juegos/Xbox One Juegos/5035224111350_s.jpg,1002,Xbox One,5.00,5035224111350,8.00,3.00
Witcher 3: Wild Hunt,/product_images/Juegos/Xbox One Juegos/3391891978835_s.jpg,1002,Xbox One,18.00,3391891978835,28.00,13.00
Far Cry Primal,/product_images/Juegos/Xbox One Juegos/3307215938508_s.jpg,1002,Xbox One,18.00,3307215938508,28.00,13.00
"Evil Within, The",/product_images/Juegos/Xbox One Juegos/093155149113_s.jpg,1002,Xbox One,9.00,093155149113,15.00,7.00
Pro Evolution Soccer 2017,/product_images/Juegos/Xbox One Juegos/4012927111581_s.jpg,1002,Xbox One,18.00,4012927111581,28.00,13.00
Resident Evil: Revelations 2,/product_images/Juegos/Xbox One Juegos/5055060930588_s.jpg,1002,Xbox One,9.00,5055060930588,15.00,7.00
Battleborn,/product_images/Juegos/Xbox One Juegos/5026555284431_s.jpg,1002,Xbox One,1.90,5026555284431,5.00,1.20
Moto Racer 4,/product_images/Juegos/Xbox One Juegos/3760156480756_s.jpg,1002,Xbox One,3.00,3760156480756,10.00,2.00
No Man's Sky,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,1001,PlayStation 4,16.00,0711719849834,25.00,12.00
LEGO Marvel Vengadores,/product_images/Juegos/PS4 Juegos/5051893218855_s.jpg,1001,PlayStation 4,26.00,5051893218855,40.00,19.00
Assassin's Creed: The Ezio Collection,/product_images/Juegos/PS4 Juegos/3307215977453_s.jpg,1001,PlayStation 4,27.00,3307215977453,42.00,20.00
Need For Speed: Rivals,/product_images/Juegos/PS4 Juegos/5035225111342_s.jpg,1001,PlayStation 4,18.00,5035225111342,28.00,13.00
WWE 2K16,/product_images/Juegos/PS4 Juegos/5026555421348_s.jpg,1001,PlayStation 4,18.00,5026555421348,28.00,13.00
Elder Scrolls V: Skyrim - Special Edition,/product_images/Juegos/PS4 Juegos/5055856411574_s.jpg,1001,PlayStation 4,28.00,5055856411574,42.00,23.00
Tomb Raider: Definitive Edition,/product_images/Juegos/PS4 Juegos/5021290060869_s.jpg,1001,PlayStation 4,19.00,5021290060869,30.00,14.00
Call Of Duty: Ghosts,/product_images/Juegos/PS4 Juegos/5030917126215_s.jpg,1001,PlayStation 4,8.00,5030917126215,22.00,5.00
Dark Souls III,/product_images/Juegos/PS4 Juegos/3391891987332_s.jpg,1001,PlayStation 4,31.00,3391891987332,48.00,23.00
Pack Heavy Rain + Beyond: Dos Almas,/product_images/Juegos/PS4 Juegos/711719878346_s.jpg,1001,PlayStation 4,20.00,711719878346,32.00,15.00
Deus Ex: Mankind Divided,/product_images/Juegos/PS4 Juegos/5021290069060_s.jpg,1001,PlayStation 4,18.00,5021290069060,28.00,13.00
Rocket League,/product_images/Juegos/PS4 Juegos/8023171037745_s.jpg,1001,PlayStation 4,29.00,8023171037745,45.00,21.00
Evolve,/product_images/Juegos/PS4 Juegos/5026555417327_s.jpg,1001,PlayStation 4,9.00,5026555417327,15.00,7.00
Street Fighter V,/product_images/Juegos/PS4 Juegos/5055060930977_s.jpg,1001,PlayStation 4,20.00,5055060930977,32.00,15.00
EA Sports UFC,/product_images/Juegos/PS4 Juegos/5030943115313_s.jpg,1001,PlayStation 4,9.00,5030943115313,25.00,6.00
Dragon Age: Inquisition,/product_images/Juegos/PS4 Juegos/5030930113803_s.jpg,1001,PlayStation 4,13.00,5030930113803,20.00,9.00
Final Fantasy Type-0 HD,/product_images/Juegos/PS4 Juegos/5021290065017_s.jpg,1001,PlayStation 4,13.00,5021290065017,20.00,9.00
UFC 2,/product_images/Juegos/PS4 Juegos/5030941117937_s.jpg,1001,PlayStation 4,32.00,5030941117937,50.00,24.00
F1 2015,/product_images/Juegos/PS4 Juegos/5024866364019_s.jpg,1001,PlayStation 4,18.00,5024866364019,28.00,13.00
Rayman Legends,/product_images/Juegos/PS4 Juegos/3307215775066_s.jpg,1001,PlayStation 4,22.00,3307215775066,35.00,16.00
Batman: Return To Arkham,/product_images/Juegos/PS4 Juegos/5051893230963_s.jpg,1001,PlayStation 4,24.00,5051893230963,38.00,18.00
Mortal Kombat X,/product_images/Juegos/PS4 Juegos/5051893198553_s.jpg,1001,PlayStation 4,24.00,5051893198553,38.00,18.00
Diablo III: Ultimate Evil Edition (3 ),/product_images/Juegos/PS4 Juegos/5030917144561_s.jpg,1001,PlayStation 4,18.00,5030917144561,28.00,13.00
FIFA 14,/product_images/Juegos/PS4 Juegos/5030937111338_s.jpg,1001,PlayStation 4,1.20,5030937111338,4.00,0.60
Steep,/product_images/Juegos/PS4 Juegos/3307215974377_s.jpg,1001,PlayStation 4,35.00,3307215974377,52.00,29.00
Pro Evolution Soccer 2015,/product_images/Juegos/PS4 Juegos/4012927100660_s.jpg,1001,PlayStation 4,1.50,4012927100660,5.00,0.70
Naruto Shippuden Ultimate Ninja Storm 4,/product_images/Juegos/PS4 Juegos/3391891983518_s.jpg,1001,PlayStation 4,24.00,3391891983518,38.00,18.00
Lego Dimensions: Starter Pack (Sealed Only),/product_images/Juegos/PS4 Juegos/5051892187336_s.jpg,1001,PlayStation 4,45.00,5051892187336,70.00,33.00
Little Big Planet 3,/product_images/Juegos/PS4 Juegos/711719446019_s.jpg,1001,PlayStation 4,18.00,711719446019,28.00,13.00
Plants vs Zombies: Garden Warfare,/product_images/Juegos/PS4 Juegos/5030948112348_s.jpg,1001,PlayStation 4,20.00,5030948112348,32.00,15.00
NBA 2K15,/product_images/Juegos/PS4 Juegos/5026555417501_s.jpg,1001,PlayStation 4,4.00,5026555417501,12.00,2.00
Metro: Redux,/product_images/Juegos/PS4 Juegos/4020628886349_s.jpg,1001,PlayStation 4,14.00,4020628886349,22.00,10.00
WWE 2K17,/product_images/Juegos/PS4 Juegos/5026555422536_s.jpg,1001,PlayStation 4,35.00,5026555422536,52.00,29.00
Thief,/product_images/Juegos/PS4 Juegos/5021290057203_s.jpg,1001,PlayStation 4,11.00,5021290057203,18.00,8.00
Wolfenstein: The New Order,/product_images/Juegos/PS4 Juegos/0093155149236_s.jpg,1001,PlayStation 4,13.00,0093155149236,20.00,9.00
Battleborn,/product_images/Juegos/PS4 Juegos/5026555418058_s.jpg,1001,PlayStation 4,5.00,5026555418058,15.00,3.00
Mortal Kombat XL,/product_images/Juegos/PS4 Juegos/5051893229059_s.jpg,1001,PlayStation 4,29.00,5051893229059,45.00,21.00
Dirt Rally (Game Only),/product_images/Juegos/PS4 Juegos/4020628836399_s.jpg,1001,PlayStation 4,26.00,4020628836399,40.00,19.00
Project CARS,/product_images/Juegos/PS4 Juegos/3391891981064_s.jpg,1001,PlayStation 4,20.00,3391891981064,32.00,15.00
Dead Island : Definitive Edition (No Riptide / Retro DLC),/product_images/Juegos/PS4 Juegos/4020628844646_s.jpg,1001,PlayStation 4,16.00,4020628844646,25.00,12.00
Witcher 3: Game of The Year Edition,/product_images/defimg1_s.jpg,1001,PlayStation 4,31.00,3391891989916,48.00,23.00
Payday 2 - Crimewave Edition,/product_images/Juegos/PS4 Juegos/8023171036373_s.jpg,1001,PlayStation 4,14.00,8023171036373,22.00,10.00
Knack,/product_images/Juegos/PS4 Juegos/711719280477_s.jpg,1001,PlayStation 4,16.00,711719280477,25.00,12.00
Mirror's Edge Catalyst,/product_images/Juegos/PS4 Juegos/5035225116354_s.jpg,1001,PlayStation 4,18.00,5035225116354,28.00,13.00
Final Fantasy X/X-2 HD Remastered,/product_images/Juegos/PS4 Juegos/5021290068056_s.jpg,1001,PlayStation 4,18.00,5021290068056,28.00,13.00
Assassin's Creed Chronicles,/product_images/Juegos/PS4 Juegos/3307215916285_s.jpg,1001,PlayStation 4,13.00,3307215916285,20.00,9.00
Minecraft: Story Mode,/product_images/Juegos/PS4 Juegos/5060146462341_s.jpg,1001,PlayStation 4,18.00,5060146462341,28.00,13.00
Sleeping Dogs - Definitive Edition,/product_images/Juegos/PS4 Juegos/5021290066045_s.jpg,1001,PlayStation 4,14.00,5021290066045,22.00,10.00
