sku,categoria_id,titulo,precio_intercambio,categoria_str,precio_compra,img_caratula,precio_venta
5030917181863,1002,Call Of Duty: Black Ops III,18.00,Xbox One,13.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,30.00
5030917124358,1002,Destiny,5.00,Xbox One,3.00,/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,8.00
885370662023,1002,Forza Motorsport 5,7.00,Xbox One,5.00,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,12.00
5030941116398,1002,Mass Effect: Andrómeda (Sin DLC),50.00,Xbox One,45.00,/product_images/Juegos/Xbox One Juegos/5030941116398_s.jpg,65.00
5026555297356,1002,Mafia III,15.00,Xbox One,11.00,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,25.00
5030947121631,1002,Star Wars: Battlefront,11.00,Xbox One,8.00,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,18.00
5035228113763,1002,Battlefield 1,24.00,Xbox One,17.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,38.00
5055856406396,1002,Fallout 4,15.00,Xbox One,11.00,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,25.00
3307215913161,1002,Ghost Recon: Wildlands (Sin DLC),44.00,Xbox One,36.00,/product_images/Juegos/Xbox One Juegos/3307215913161_s.jpg,65.00
885370929669,1002,Halo 5: Guardians,12.00,Xbox One,9.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,20.00
885370951844,1002,Gears Of War: Ultimate Edition,6.00,Xbox One,4.00,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,10.00
3307215803530,1001,Assassin's Creed: Unity,9.00,PlayStation 4,6.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,15.00
5021290072985,1001,Final Fantasy XV,20.00,PlayStation 4,14.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,32.00
5030934121637,1001,Star Wars: Battlefront,11.00,PlayStation 4,8.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,18.00
5030917148019,1001,Call Of Duty: Advanced Warfare,8.00,PlayStation 4,5.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,22.00
3307215804445,1001,"Division, The",6.00,PlayStation 4,4.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,18.00
