titulo,categoria_id,precio_compra,precio_intercambio,categoria_str,img_caratula,sku,precio_venta
Wii Sports Resort (Solo Juego),831,6.00,9.00,Wii,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,045496367473,15.00
Wii Sports (Solo Juego),831,2.00,3.00,Wii,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,045496362102,5.00
Super Smash Bros. Brawl,831,6.00,9.00,Wii,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,045496365899,15.00
Wii Fit Plus (Solo Juego),831,2.00,3.00,Wii,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,045496367916,5.00
Super Mario Galaxy,831,6.00,9.00,Wii,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,045496363932,15.00
Super Mario Galaxy 2,831,9.00,13.00,Wii,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,045496368869,22.00
FIFA 14,831,2.00,3.00,Wii,/product_images/Juegos/Wii Juegos/5030933111424_s.jpg,5030933111424,6.00
Just Dance 4,831,8.00,11.00,Wii,/product_images/Juegos/Wii Juegos/3307215647196_s.jpg,3307215647196,18.00
Legend of Zelda: Twilight Princess,831,5.00,7.00,Wii,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,045496362393,12.00
Super Mario 3D World,996,11.00,15.00,Wii U,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,045496332785,25.00
Mario Kart 8,996,12.00,17.00,Wii U,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,045496333288,28.00
Super Mario Maker,996,12.00,17.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,045496334987,28.00
Super Smash Bros,996,14.00,20.00,Wii U,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,045496333621,32.00
Nintendo Land,996,5.00,7.00,Wii U,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,045496331085,12.00
New Super Mario Bros. U,996,8.00,11.00,Wii U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,045496331207,18.00
Yoshi's Woolly World,996,13.00,18.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,045496334697,30.00
Splatoon,996,13.00,18.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,045496334475,30.00
Rodea The Sky Solider,996,3.00,5.00,Wii U,/product_images/Juegos/Wii U Juegos/5060112431302_s.jpg,5060112431302,8.00
Xenoblade Chronicles X,996,15.00,22.00,Wii U,/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,045496335090,35.00
ZombiU,996,2.00,3.00,Wii U,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,3307215654293,6.00
Assassins Creed 3,996,4.00,6.00,Wii U,/product_images/Juegos/Wii U Juegos/3307215655078_s.jpg,3307215655078,10.00
Mario Party 10,996,9.00,12.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,045496334161,20.00
Call Of Duty: Black Ops II,996,3.00,5.00,Wii U,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,5030917114014,8.00
Donkey Kong Country: Tropical Freeze,996,9.00,13.00,Wii U,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,0045496332716,22.00
Grand Theft Auto V (5) 2 Disco,827,9.00,12.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,5026555258098,20.00
Gears of War 2,827,1.80,2.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,882224721141,4.00
FIFA 15,827,6.00,9.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,5035228112377,15.00
Call Of Duty: Black Ops II,827,6.00,9.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,5030917111679,15.00
Call Of Duty: Modern Warfare 3,827,3.00,5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,5030917096891,8.00
Call Of Duty: Ghosts *2 Disc*,827,4.00,6.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,5030917125911,10.00
Assassin's Creed,827,1.20,1.90,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/3307210263421_s.jpg,3307210263421,5.00
Grand Theft Auto IV,827,3.00,5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,5026555245968,8.00
Call Of Duty: Black Ops,827,5.00,7.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,5030917085864,12.00
FIFA 14,827,2.00,3.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,5030949111104,5.00
Gears of War 3,827,2.00,3.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,0885370309607,6.00
Halo 3,827,0.70,1.10,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,882224482479,3.00
Halo 4 *2 Disc*,827,2.00,3.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/885370439939_s.jpg,885370439939,6.00
Battlefield 3 *2 Discos*,827,3.00,5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,5030934102421,8.00
Gears of War 4,1002,15.00,22.00,Xbox One,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,0889842121575,35.00
Call Of Duty: Black Ops III,1002,13.00,18.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,5030917181863,30.00
Ryse: Son Of Rome,1002,9.00,12.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,885370662221,20.00
FIFA 17,1002,23.00,28.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,5030937116425,42.00
For Honor,1002,45.00,50.00,Xbox One,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,3307215915127,65.00
Halo 5: Guardians,1002,9.00,12.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,885370929669,20.00
Destiny,1002,2.00,3.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,5030917124358,10.00
Watch Dogs,1002,4.00,6.00,Xbox One,/product_images/Juegos/Xbox One Juegos/3307215733134_s.jpg,3307215733134,10.00
Grand Theft Auto V (5),1002,18.00,26.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,5026555284127,42.00
Resident Evil 7: Biohazard,1002,30.00,37.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,5055060965924,55.00
Gears Of War: Ultimate Edition,1002,6.00,9.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,885370951844,15.00
FIFA 15,1002,0.30,0.70,Xbox One,/product_images/Juegos/Xbox One Juegos/5030939112395_s.jpg,5030939112395,2.50
Dead Rising 3,1002,8.00,11.00,Xbox One,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,85370663983,18.00
Forza Motorsport 5,1002,8.00,11.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,885370662023,18.00
Mafia III,1002,14.00,20.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,5026555297356,32.00
Far Cry Primal,1001,14.00,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,3307215938782,32.00
Assassin's Creed: Syndicate,1001,12.00,17.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,3307215893227,28.00
"Last of Us, The - Remastered",1001,15.00,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,711719407515,35.00
Final Fantasy XV,1001,18.00,26.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,5021290072985,42.00
Far Cry 4,1001,8.00,11.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,3307215793633,18.00
Batman: Arkham Knight,1001,11.00,15.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,5051893179637,25.00
Assassin's Creed: Unity,1001,11.00,15.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,3307215803530,25.00
Witcher 3: Wild Hunt,1001,14.00,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,3391891979016,32.00
Uncharted: The Nathan Drake Collection,1001,15.00,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,711719866534,35.00
Metal Gear Solid V: The Phantom Pain,1001,9.00,12.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,4012927100417,20.00
Destiny,1001,2.00,4.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,5030917124549,12.00
Call Of Duty: Advanced Warfare,1001,6.00,9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,5030917148019,25.00
"Last Guardian, The",1001,15.00,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,711719838951,35.00
InFamous Second Son,1001,9.00,13.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,0711719278870,22.00
Doom (2016),1001,9.00,13.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,5055856403418,22.00
Rainbow Six: Siege,1001,18.00,26.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,3307215889121,42.00
Fallout 4,1001,14.00,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,5055856406242,32.00
No Man's Sky,1001,8.00,11.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,0711719849834,18.00
Minecraft,1001,17.00,24.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,711719439912,38.00
