titulo,sku,precio_intercambio,precio_compra,categoria_str,precio_venta,categoria_id,img_caratula
Titanfall 2,5030937116920,17.00,12.00,Xbox One,28.00,1002,/product_images/Juegos/Xbox One Juegos/5030937116920_s.jpg
Call Of Duty: Black Ops III,5030917181863,18.00,13.00,Xbox One,30.00,1002,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg
Destiny,5030917124549,9.00,6.00,PlayStation 4,15.00,1001,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg
Star Wars: Battlefront,5030934121637,20.00,14.00,PlayStation 4,32.00,1001,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg
Far Cry 4,3307215793633,13.00,9.00,PlayStation 4,22.00,1001,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg
Assassin's Creed: Syndicate,3307215893227,20.00,14.00,PlayStation 4,32.00,1001,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg
"Last Guardian, The",711719838951,25.00,18.00,PlayStation 4,40.00,1001,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg
Batman: Arkham Knight,5051893179637,18.00,13.00,PlayStation 4,30.00,1001,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg
Metal Gear Solid V: The Phantom Pain,4012927100417,13.00,9.00,PlayStation 4,22.00,1001,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg
Little Big Planet 3,711719446019,18.00,13.00,PlayStation 4,30.00,1001,/product_images/Juegos/PS4 Juegos/711719446019_s.jpg
Fallout 4,5055856406242,20.00,14.00,PlayStation 4,32.00,1001,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg
"Last of Us, The - Remastered",711719407515,26.00,18.00,PlayStation 4,42.00,1001,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg
Kingdom Hearts HD 2.8 Final Chapter Prologue,5021290072022,42.00,38.00,PlayStation 4,55.00,1001,/product_images/Juegos/PS4 Juegos/5021290072022_s.jpg
Killzone: Shadow Fall,711719275473,7.00,5.00,PlayStation 4,12.00,1001,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg
FIFA 15,5030947112387,2.00,1.20,PlayStation 4,8.00,1001,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg
Uncharted: The Nathan Drake Collection,711719866534,25.00,18.00,PlayStation 4,40.00,1001,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg
Doom (2016),5055856403418,17.00,12.00,PlayStation 4,28.00,1001,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg
Call Of Duty: Advanced Warfare,5030917148019,10.00,6.00,PlayStation 4,28.00,1001,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg
Until Dawn,711719874737,22.00,15.00,PlayStation 4,35.00,1001,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg
Witcher 3: Wild Hunt,3391891979016,24.00,17.00,PlayStation 4,38.00,1001,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg
God of War 3 - Remasterizado,711719843337,18.00,13.00,PlayStation 4,30.00,1001,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg
