sku,precio_intercambio,img_caratula,precio_venta,categoria_id,titulo,precio_compra,categoria_str
85370663983,9.00,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,15.00,1002,Dead Rising 3,7.00,Xbox One
5026555284127,26.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,40.00,1002,Grand Theft Auto V (5),19.00,Xbox One
5030917181863,18.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,28.00,1002,Call Of Duty: Black Ops III,13.00,Xbox One
885370662023,11.00,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,18.00,1002,Forza Motorsport 5,8.00,Xbox One
885370929669,13.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,20.00,1002,Halo 5: Guardians,9.00,Xbox One
3307215804315,14.00,/product_images/Juegos/Xbox One Juegos/3307215804315_s.jpg,22.00,1002,"Division, The",10.00,Xbox One
885370984750,16.00,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,25.00,1002,Rise Of The Tomb Raider,12.00,Xbox One
885370662221,11.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,18.00,1002,Ryse: Son Of Rome,8.00,Xbox One
5055856403524,13.00,/product_images/Juegos/Xbox One Juegos/5055856403524_s.jpg,20.00,1002,Doom (2016),9.00,Xbox One
4020628868543,9.00,/product_images/Juegos/Xbox One Juegos/4020628868543_s.jpg,15.00,1002,Homefront: The Revolution,7.00,Xbox One
885370951844,9.00,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,15.00,1002,Gears Of War: Ultimate Edition,7.00,Xbox One
5030934121637,19.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,30.00,1001,Star Wars: Battlefront,14.00,PlayStation 4
711719838951,30.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,45.00,1001,"Last Guardian, The",25.00,PlayStation 4
711719407515,26.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,40.00,1001,"Last of Us, The - Remastered",19.00,PlayStation 4
4012927100417,16.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,25.00,1001,Metal Gear Solid V: The Phantom Pain,12.00,PlayStation 4
3307215793633,16.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,25.00,1001,Far Cry 4,12.00,PlayStation 4
5030947112387,1.80,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,6.00,1001,FIFA 15,0.90,PlayStation 4
3307215803530,19.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,30.00,1001,Assassin's Creed: Unity,14.00,PlayStation 4
5055856406242,19.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,30.00,1001,Fallout 4,14.00,PlayStation 4
4012927102336,29.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,45.00,1001,Pro Evolution Soccer 2017,21.00,PlayStation 4
3391891979016,22.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,35.00,1001,Witcher 3: Wild Hunt,16.00,PlayStation 4
5030917148019,10.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,28.00,1001,Call Of Duty: Advanced Warfare,6.00,PlayStation 4
5021290074811,35.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,55.00,1001,Rise of the Tomb Raider,26.00,PlayStation 4
5055856403418,18.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,28.00,1001,Doom (2016),13.00,PlayStation 4
5030936111346,16.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,25.00,1001,Battlefield 4,12.00,PlayStation 4
711719866534,27.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,42.00,1001,Uncharted: The Nathan Drake Collection,20.00,PlayStation 4
5030917124549,11.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,18.00,1001,Destiny,8.00,PlayStation 4
711719277071,16.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,25.00,1001,DriveClub,12.00,PlayStation 4
5026555422079,35.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,52.00,1001,NBA 2K17,29.00,PlayStation 4
5030932116925,26.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,40.00,1001,Titanfall 2,19.00,PlayStation 4
3307215889121,24.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,38.00,1001,Rainbow Six: Siege,18.00,PlayStation 4
5030946112425,11.00,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,18.00,1001,Battlefield Hardline,8.00,PlayStation 4
0711719278870,18.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,28.00,1001,InFamous Second Son,13.00,PlayStation 4
0711719849834,16.00,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,25.00,1001,No Man's Sky,12.00,PlayStation 4
0711719800415,19.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,30.00,1001,Bloodborne,14.00,PlayStation 4
5026555421256,7.00,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,20.00,1001,NBA 2K16,4.00,PlayStation 4
3307215715239,16.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,25.00,1001,Assassin's Creed 4: Black Flag,12.00,PlayStation 4
711719439912,24.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,38.00,1001,Minecraft,18.00,PlayStation 4
711719275473,9.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,15.00,1001,Killzone: Shadow Fall,7.00,PlayStation 4
711719843337,18.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,28.00,1001,God of War 3 - Remasterizado,13.00,PlayStation 4
5051893170139,22.00,/product_images/Juegos/PS4 Juegos/5051893170139_s.jpg,35.00,1001,Dying Light,16.00,PlayStation 4
711719848233,26.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,40.00,1001,Ratchet & Clank (2016),19.00,PlayStation 4
5055856410706,27.00,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,40.00,1001,Dishonored 2 (Sin DLC),22.00,PlayStation 4
4020628868550,13.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,20.00,1001,Homefront: The Revolution,9.00,PlayStation 4
5021290069459,22.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,35.00,1001,Just Cause 3,16.00,PlayStation 4
5051890302113,26.00,/product_images/Juegos/PS4 Juegos/5051890302113_s.jpg,40.00,1001,Dying Light The Following: Enhanced Edition,19.00,PlayStation 4
4012927101179,6.00,/product_images/Juegos/PS4 Juegos/4012927101179_s.jpg,18.00,1001,Pro Evolution Soccer 2016,4.00,PlayStation 4
5035223113737,26.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,40.00,1001,Need For Speed (2015),19.00,PlayStation 4
5021290069060,18.00,/product_images/Juegos/PS4 Juegos/5021290069060_s.jpg,28.00,1001,Deus Ex: Mankind Divided,13.00,PlayStation 4
