precio_compra,precio_intercambio,img_caratula,categoria_id,sku,titulo,categoria_str,precio_venta
2.00,3.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,996,3307215654293,ZombiU,Wii U,6.00
14.00,20.00,/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,996,045496335090,Xenoblade Chronicles X,Wii U,32.00
13.00,18.00,/product_images/Juegos/Wii U Juegos/0045496335618_s.jpg,996,0045496335618,Pokken Tournament (No Mewtwo Card),Wii U,30.00
14.00,20.00,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,996,045496334697,Yoshi's Woolly World,Wii U,32.00
2.00,3.00,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,996,5030917114014,Call Of Duty: Black Ops II,Wii U,6.00
9.00,13.00,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,996,045496333713,Bayonetta 2,Wii U,22.00
9.00,12.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,827,5026555258098,Grand Theft Auto V (5) 2 Disco,Xbox 360,20.00
1.80,2.00,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,827,882224721141,Gears of War 2,Xbox 360,4.00
3.00,5.00,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,827,5030934102421,Battlefield 3 *2 Discos*,Xbox 360,8.00
2.00,3.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,827,5030949111104,FIFA 14,Xbox 360,5.00
6.00,9.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,827,5030917111679,Call Of Duty: Black Ops II,Xbox 360,15.00
6.00,9.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,827,5035228112377,FIFA 15,Xbox 360,15.00
3.00,5.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,827,5030917096891,Call Of Duty: Modern Warfare 3,Xbox 360,8.00
3.00,5.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,827,5026555245968,Grand Theft Auto IV,Xbox 360,8.00
0.80,1.30,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,827,882224260145,Gears of War,Xbox 360,3.50
4.00,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,827,5030917125911,Call Of Duty: Ghosts *2 Disc*,Xbox 360,10.00
