precio_compra,precio_intercambio,categoria_str,img_caratula,precio_venta,sku,titulo,categoria_id
0.40,0.90,PSP,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,3.00,711719651888,Ratchet & Clank: El Tamano Importa,862
0.30,0.60,PSP,/product_images/Juegos/PSP Juegos/3307210205292_s.jpg,2.00,3307210205292,Prince Of Persia Revelations,862
0.01,0.10,PSP,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.50,711719738657,Play Chapas,862
0.01,0.10,PSP,/product_images/Juegos/PSP Juegos/5030934067263_s.jpg,0.50,5030934067263,FIFA 09,862
8.00,11.00,Wii,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,18.00,045496365202,Mario Kart Wii (Solo Juego),831
11.00,15.00,Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,25.00,045496368098,New Super Mario Bros. Wii,831
2.00,3.00,Wii,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,6.00,045496362201,Wii Play (solo juego),831
6.00,9.00,Wii,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,15.00,045496363932,Super Mario Galaxy,831
2.00,3.00,Wii,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,5.00,045496362102,Wii Sports (Solo Juego),831
6.00,9.00,Wii,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,15.00,045496367473,Wii Sports Resort (Solo Juego),831
6.00,9.00,Wii,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,15.00,045496365899,Super Smash Bros. Brawl,831
9.00,13.00,Wii,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,22.00,045496400736,Legend of Zelda: Skyward Sword,831
9.00,13.00,Wii,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,22.00,045496368869,Super Mario Galaxy 2,831
2.00,3.00,Wii,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,5.00,045496367916,Wii Fit Plus (Solo Juego),831
5.00,7.00,Wii,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,12.00,045496362393,Legend of Zelda: Twilight Princess,831
8.00,11.00,Wii,/product_images/Juegos/Wii Juegos/045496362867_s.jpg,18.00,045496362867,Mario Party 8,831
12.00,17.00,Wii U,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,28.00,045496333288,Mario Kart 8,996
12.00,17.00,Wii U,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,28.00,045496332785,Super Mario 3D World,996
14.00,20.00,Wii U,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,32.00,045496333621,Super Smash Bros,996
12.00,17.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,28.00,045496334475,Splatoon,996
8.00,11.00,Wii U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,18.00,045496332198,New Super Mario Bros. U & Super Luigi U,996
9.00,12.00,Wii U,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,20.00,0045496332716,Donkey Kong Country: Tropical Freeze,996
5.00,7.00,Wii U,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,12.00,045496331085,Nintendo Land,996
6.00,9.00,Wii U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,15.00,045496331207,New Super Mario Bros. U,996
9.00,12.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,20.00,045496334161,Mario Party 10,996
9.00,12.00,Wii U,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,20.00,0045496332303,Legend Of Zelda: Wind Waker HD,996
13.00,18.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,30.00,045496334987,Super Mario Maker,996
3.00,5.00,Wii U,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,8.00,3307215654293,ZombiU,996
12.00,17.00,Wii U,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,28.00,045496335489,Legend Of Zelda: Twilight Princess HD,996
3.00,4.00,Wii U,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,7.00,5030917114014,Call Of Duty: Black Ops II,996
9.00,12.00,Wii U,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,20.00,045496332839,Wii Party U (Solo Juego),996
9.00,12.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,20.00,5026555258098,Grand Theft Auto V (5) 2 Disco,827
5.00,7.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,12.00,5030917085864,Call Of Duty: Black Ops,827
4.00,6.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,10.00,5030917125911,Call Of Duty: Ghosts *2 Disc*,827
0.70,1.10,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,3.00,882224482479,Halo 3,827
2.00,3.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,5.00,5030949111104,FIFA 14,827
6.00,9.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,15.00,5035228112377,FIFA 15,827
3.00,5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,8.00,5030917096891,Call Of Duty: Modern Warfare 3,827
1.80,2.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,4.00,882224721141,Gears of War 2,827
6.00,9.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,15.00,5030917111679,Call Of Duty: Black Ops II,827
0.40,0.70,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,2.00,5030934109734,FIFA 13,827
3.00,5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,8.00,5055060963852,Resident Evil 6 *2 Disc*,827
6.00,9.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,15.00,0885370606515,Minecraft,827
3.00,5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,8.00,5030934102421,Battlefield 3 *2 Discos*,827
1.20,1.90,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,5.00,882224918343,Forza Motorsport 3 (2 Discos),827
42.00,46.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,60.00,5055060965924,Resident Evil 7: Biohazard,1002
18.00,24.00,Xbox One,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,38.00,0889842121575,Gears of War 4,1002
20.00,27.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,42.00,5035228113763,Battlefield 1,1002
8.00,11.00,Xbox One,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,18.00,85370663983,Dead Rising 3,1002
14.00,19.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,30.00,5030917181863,Call Of Duty: Black Ops III,1002
19.00,26.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,40.00,5026555284127,Grand Theft Auto V (5),1002
9.00,13.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,20.00,885370662023,Forza Motorsport 5,1002
20.00,27.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,42.00,5021290073081,Final Fantasy XV,1002
9.00,13.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,20.00,885370662221,Ryse: Son Of Rome,1002
1.40,2.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030934111362_s.jpg,6.00,5030934111362,Titanfall,1002
8.00,11.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,18.00,885370929669,Halo 5: Guardians,1002
13.00,18.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,28.00,5055856406396,Fallout 4,1002
12.00,16.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,25.00,885370984750,Rise Of The Tomb Raider,1002
23.00,28.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,42.00,5030937116425,FIFA 17,1002
8.00,11.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,18.00,885370951844,Gears Of War: Ultimate Edition,1002
21.00,29.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,45.00,711719838951,"Last Guardian, The",1001
16.00,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,35.00,3307215938782,Far Cry Primal,1001
15.00,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,32.00,5030934121637,Star Wars: Battlefront,1001
20.00,27.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,42.00,711719407515,"Last of Us, The - Remastered",1001
5.00,7.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,12.00,711719275473,Killzone: Shadow Fall,1001
10.00,14.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,22.00,3307215793633,Far Cry 4,1001
15.00,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,32.00,3307215803530,Assassin's Creed: Unity,1001
