categoria_id,precio_venta,categoria_str,precio_intercambio,precio_compra,titulo,sku,img_caratula
834,2.50,Nintendo DS,0.90,0.60,Operation: Vietnam,5060136650116,/product_images/defimg1_s.jpg
834,10.00,Nintendo DS,6.00,4.00,Fish Tycoon,5060136650178,/product_images/defimg3_s.jpg
834,8.00,Nintendo DS,5.00,3.00,Holly Hobbie & Friends,5060136650208,/product_images/defimg4_s.jpg
834,5.00,Nintendo DS,3.00,2.00,Toy Shop Tycoon,5060136650260,/product_images/defimg1_s.jpg
834,4.50,Nintendo DS,1.70,1.00,Night At The Museum 2,5060136650796,/product_images/defimg3_s.jpg
834,3.50,Nintendo DS,1.30,0.80,Bleach: The Blade of Fate,5060138435513,/product_images/Juegos/DS Juegos/5060138435513_s.jpg
834,4.00,Nintendo DS,1.50,0.90,Sega Superstars Tennis,5060138436114,/product_images/Juegos/DS Juegos/5060138436114_s.jpg
834,0.50,Nintendo DS,0.10,0.01,Brain Assist,5060138436688,/product_images/defimg1_s.jpg
834,4.00,Nintendo DS,1.50,0.90,Doodle Hex,5060148907260,/product_images/defimg2_s.jpg
834,1.50,Nintendo DS,0.40,0.20,Football Director,5060148907321,/product_images/Juegos/DS Juegos/5060148907321_s.jpg
834,12.00,Nintendo DS,7.00,5.00,Peppa Pig: The Game,5060148907345,/product_images/defimg3_s.jpg
834,5.00,Nintendo DS,3.00,2.00,Jigapix: Wild World,5060184980258,/product_images/defimg5_s.jpg
834,10.00,Nintendo DS,6.00,4.00,Happy Bakery,5060189090006,/product_images/defimg4_s.jpg
834,4.00,Nintendo DS,1.50,0.90,Happy Party With Hello Kitty & Friends,5060189090051,/product_images/defimg5_s.jpg
834,6.00,Nintendo DS,3.00,2.00,Moon,5060189090150,/product_images/Juegos/DS Juegos/5060189090150_s.jpg
834,2.00,Nintendo DS,0.70,0.40,Hidden Photo,5060201650928,/product_images/defimg1_s.jpg
834,15.00,Nintendo DS,9.00,6.00,"Peppa Pig, Theme Park Fun",5060203320201,/product_images/Juegos/DS Juegos/5060203320201_s.jpg
834,7.00,Nintendo DS,4.00,3.00,ATV Quad Kings,5060216310046,/product_images/defimg2_s.jpg
834,18.00,Nintendo DS,11.00,8.00,Thomas & Friends: Hero Of The Rails,5060216660011,/product_images/defimg3_s.jpg
834,1.00,Nintendo DS,0.30,0.10,Deal Or No Deal,5390102487485,/product_images/defimg1_s.jpg
834,3.50,Nintendo DS,1.30,0.80,Crazy Pig,5390102488918,/product_images/defimg3_s.jpg
834,2.00,Nintendo DS,0.70,0.40,MTV Fan Attack,5390102488956,/product_images/defimg3_s.jpg
