id_company;company
101;Freeverse Software
100;Nival Interactive
99;The 3DO Company
97;New World Computing
95;Disney Interactive
94;EA Digital Illusions CE
93;Square Enix 1st Production Department
92;NovaLogic
91;Playmates Interactive Entertainment
90;Neversoft Entertainment
89;Shokwave
88;Shiny Entertainment
87;Mythic Entertainment
85;Double Fine Productions
84;CTO SpA
82;Atari
81;Destination Software
80;Vivendi Games
79;Magic Pockets
78;Snowblind Studios
77;Totally Games
76;Ronin Entertainment
75;Factor 5
74;CyberFront Corporation
73;Aspyr Media
72;Vicarious Visions
71;Raven Software
70;Nintendo
69;Big Ape Productions
68;Ensemble Studios
67;Petroglyph Games
66;Activision
65;Luxoflux
64;Savage Entertainment
63;Pandemic Studios
62;Griptonite Games
61;Gameloft
60;Climax Group
59;Blizzard North
58;Mojang AB
57;Certain Affinity
56;Valve Corporation
55;Turtle Rock Studios
54;TransGaming Technologies
53;Microsoft Game Studios
52;LTI Gray Matter
51;Blizzard Entertainment
50;Warner Bros. Interactive Entertainment
48;NetherRealm Studios
47;Obsidian Entertainment
45;Sony Computer Entertainment
44;Team Ico
42;Tencent Holdings Ltd
41;Riot Games
39;Ubisoft Annecy
38;Ubisoft Montreal
37;Capcom
36;Frictional Games
32;Sierra On-Line
30;Team Bondi
29;Rockstar Games
28;Bethesda Softworks LLC
27;Eidos Montreal
26;Square Enix
25;Ion Storm
24;Sierra Entertainment
23;Feral Interactive
21;Irrational Games
20;Darkside Game Studios
19;Arkane Studios
18;2K China
17;Digital Extremes
15;2K Marin
14;Bullfrog Productions
13;Demiurge Studios
12;Black Isle Studios
11;EA Redwood Shores
10;LucasArts Entertainment
9;Lucasfilm Games
8;2K Games
7;Visceral Games
6;Lionhead Studios
5;Interplay Entertainment
4;Eidos Interactive
3;Looking Glass Studios
2;BioWare
1;Electronic Arts
9284;Kapten Nemos
9283;PostMod Softworks
9282;Persistent Studios
9281;Playa Games GmbH
9280;Lumisoftas
9279;Burak Dabak
9278;Varkian Empire
9277;Sorath
9276;Transgate
9275;NANICA K.K
9274;Shogakukan Production
9273;Creat
9272;Motion Analysis
9271;New Pencil
9270;InterServ International
9269;GWhiz
9268;Music Expedition
9267;M on M
9266;Gives
9265;Center Field
9264;Linn PR
9263;Crazybunch
9262;1 Source Entertainment
9261;Prometheus Project
9260;Oyun Ceviri
9259;FenixTM
9258;Ninja Tune
9257;Visual Mechanix
9256;Sound Motorsports
9255;Connected Media Group
9254;Blade Games World
9253;Lauscherlounge
9252;Pole To Win
9251;Digital Hearts Co. Ltd.
9250;Acapela Group
9249;Wordy.com
9248;Ignited Design Studios
9247;Night Bandit
9246;The Maniac Agenda
9245;www.maniacmusic.net
9244;Waterorion
9243;INEI
9242;Black Beard Design Studio
9241;Malmö Symphony Orchestra
9240;Applied Cinematics
9239;Gameshastra Solutions
9238;Profile Studios
9237;One Pixel Brush
9236;Halon Entertainment
9235;Star-Trax
9234;Telsey and CO
9233;Red Eye Studios
9232;Rapan
9231;Eyecandy Studios
9230;Bearcage
9229;Lamplighter Studios
9228;Eyeball NYC
9227;Blur
9226;Magid
9225;Lewis PR
9224;RDA
9223;Multiplay
9222;MindSpring
9221;GlobalCenter
9220;URURU Games
9219;D Ξ N V Ξ R
9218;hempuli
9217;Arvi Teikari
9216;Hitoshi Sakimoto
9215;Krams Design
9214;Gastronaut Studios
9213;BadLand Games SL
9212;TinyCo
9211;Fletcher Studio
9210;FOURM Design Studio
9209;Thekla
9208;Wabi Sabi Sound
9207;Stegersaurus Software Inc.
9206;SadSquare Studio
9205;Hungry Planet Games
9204;Hi-Tech Expressions
9203;ETeeski
9202;Catstudio
9201;Funny Games Group
9200;Omega Software
9199;Rusty Lake
9198;Dream Reactor
9197;Boncho Games
9196;Clapfoot
9195;IF Games
9194;Loriciel
9193;Pera Games
9192;FLEB
9191;Mosaic Mask Studio
9190;New Blood Interactive
9189;Psyche Studios
9188;Brave Giant LTD
9187;Tammeka Games
9186;Game Insight
9185;Z-Software GmbH
9184;Z-Software
9183;Parody Games, LLC
9182;Lighthouse Games Studio
9181;Right Pedal Studios
9180;Attract Mode Games
9179;Marie Ronnaux Games
9178;Riya
9177;Artaani
9176;Romenics
